,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,300989,蕾奥规划,805.91,3.65,37.9377,3.9504,,108.0057,
1,000815,美利云,424.76,26.59,5.4245,148.0793,0.4674,556.7114,1.7572
2,002306,中科云网,338.65,17.41,56.4558,65.574,0.0819,376.6359,0.4707
3,300892,品渥食品,331.83,3.9,47.6394,38.8084,,994.5994,
4,600608,ST沪科,328.63,18.39,7.5907,34.9916,0.1064,190.1716,0.5782
5,002959,小熊电器,312.98,9.9,34.526,71.7432,,724.6268,
6,300866,安克创新,151.31,10.36,52.525,134.9051,3.7267,1302.1599,35.9721
7,300936,中英科技,143.71,23.21,53.4962,21.5592,,92.8582,
8,605090,九丰能源,122.68,2.84,9.579,227.6695,,8006.0565,
9,605333,沪光股份,94.6,4.62,15.3499,46.9534,,1014.5737,
10,002517,恺英网络,85.23,27.99,61.185,654.7989,0.9674,2339.3045,3.4564
11,603709,中源家居,80.34,13.88,30.9563,59.1177,0.9852,425.8667,7.0977
12,603506,南都物业,78.02,11.53,29.7747,54.2872,,470.7624,
13,300894,火星人,76.26,8.92,45.3363,16.7789,,187.9446,
14,300750,宁德时代,74.23,16.31,38.6415,930.6464,0.4759,5702.8849,2.9167
15,002027,分众传媒,73.69,39.28,70.5617,3389.142,0.8234,8627.4116,2.0961
16,688516,奥特维,71.9,24.67,45.945,57.993,1.2887,235.0248,5.2227
17,600870,*ST厦华,71.82,6.45,6.073,13.9903,0.0267,216.7728,0.4143
18,002962,五方光电,68.52,19.91,42.9035,48.4,,243.0253,
19,002995,天地在线,67.33,6.18,24.2912,45.2504,,731.2642,
20,300858,科拓生物,66.48,18.88,40.1013,35.018,,185.4142,
21,600155,华创阳安,63.78,64.76,2.3226,225.7168,0.4735,348.5158,0.7312
22,603587,地素时尚,63.74,27.17,74.5448,503.2295,1.48,1851.8747,5.4466
23,603195,公牛集团,61.43,22.42,41.6065,999.7422,,4458.9131,
24,688315,诺禾致源,61.17,8.0,52.382,24.7887,,309.8272,
25,688109,品茗股份,61.05,31.41,74.4015,15.9506,1.595,50.7705,5.077
26,603890,春秋电子,58.49,6.83,19.3847,87.0937,0.8476,1275.147,12.4101
27,300757,罗博特科,57.83,18.19,37.3827,21.3974,0.3566,117.5934,1.9598
