,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600198,*ST大唐,288.28,23.98,25.3225,579.5959,0.657,2416.5,2.7394
1,000585,*ST东电,169.34,45.17,17.0713,14.5961,0.0167,32.3115,0.0369
2,300979,华利集团,103.88,12.36,24.2164,1532.103,,12388.4802,
3,300861,美畅股份,81.59,47.47,63.5575,1024.403,2.8455,2157.858,5.994
4,000707,*ST双环,72.84,3.6,-2.5748,135.7448,0.2924,3769.9456,8.1223
5,000737,南风化工,70.09,14.61,24.754,267.0719,0.4866,1827.2707,3.3298
6,600399,抚顺特钢,62.52,44.58,14.527,2607.3083,1.322,5847.7317,2.9652
7,300957,贝泰妮,58.52,21.0,81.1572,260.5266,,1240.4902,
8,688378,奥来德,58.45,33.93,65.9603,89.0664,,262.4383,
9,301075,多瑞医药,58.37,12.41,94.5306,43.3266,,348.8477,
10,300864,南大环境,57.17,22.3,40.6183,70.9486,,318.1515,
11,688788,科思科技,55.48,36.56,66.3041,201.6069,,551.381,
12,600408,ST安泰,54.95,9.3,15.3506,820.2496,0.8147,8815.5706,8.756
13,600793,宜宾纸业,54.49,13.49,16.2188,174.4625,1.6568,1292.7985,12.2772
14,600870,*ST厦华,54.32,14.7,26.8814,4.5538,0.0087,30.9649,0.0591
15,688260,昀冢科技,53.55,11.27,37.6939,43.726,,387.9459,
16,000717,韶钢松山,53.52,12.19,17.68,3306.441,1.3665,27112.484,11.2057
17,605009,豪悦护理,52.58,12.78,26.589,185.3495,,1449.5411,
18,300776,帝尔激光,52.51,46.01,62.0678,167.9069,3.3859,364.8842,7.3581
19,600738,丽尚国潮,52.36,114.59,34.9209,1584.228,2.023,1382.5132,1.7654
20,605288,凯迪股份,51.97,22.96,39.4507,261.4587,,1138.611,
21,688529,豪森股份,51.95,3.44,26.1979,28.136,,816.9463,
22,603195,公牛集团,51.63,18.49,36.6273,1676.8622,,9064.998,
23,300951,博硕科技,51.02,23.42,46.1749,91.8914,,392.3233,
24,300989,蕾奥规划,50.41,14.49,46.7446,47.9918,1.5997,331.0927,11.0364
25,603489,八方股份,50.36,24.66,39.4451,232.354,2.5817,942.1008,10.4677
26,301002,崧盛股份,50.16,11.4,26.502,50.063,0.88,438.8241,7.7138
27,301049,超越科技,49.56,44.72,57.6394,106.3231,,237.7101,
28,300983,尤安设计,49.5,17.58,49.6409,128.2672,2.1377,729.5709,12.1595
29,000720,新能泰山,49.22,41.22,34.6671,1072.9872,0.8319,2602.7835,2.0182
30,688188,柏楚电子,48.0,56.78,81.168,139.2763,,245.2641,
31,605168,三人行,47.61,11.28,25.3355,124.0305,2.3944,1099.5112,21.226
32,300844,山水比德,47.54,14.41,50.5609,41.4425,,287.4451,
33,600800,渤海化学,47.37,49.88,19.3126,72.4829,0.1185,145.292,0.2376
34,300976,达瑞电子,46.93,23.13,44.0156,140.417,4.0119,607.0637,17.3446
35,688309,恒誉环保,46.42,31.38,46.0988,78.9399,1.3154,251.5199,4.1914
36,600678,四川金顶,46.15,7.47,21.8256,31.6836,0.0907,424.0253,1.215
37,605118,力鼎光电,46.1,38.25,52.9841,201.4041,,526.4215,
38,688611,杭州柯林,46.08,42.66,70.8508,69.2597,2.3086,162.3299,5.4109
39,301047,义翘神州,46.0,26.11,83.5267,36.3535,,139.2277,
40,605077,华康股份,45.7,14.63,26.3001,204.5674,,1397.7138,
41,300911,亿田智能,45.47,12.4,38.0901,76.2221,,614.4591,
42,688358,祥生医疗,45.44,29.07,61.145,95.0631,,326.9657,
43,600507,方大特钢,45.41,16.93,32.8672,2927.0275,2.0188,17285.851,11.9223
44,688568,中科星图,45.37,24.37,55.5919,86.9011,,356.5764,
45,300841,康华生物,45.27,29.75,94.4427,166.4875,,559.4675,
46,688728,格科微,45.16,22.78,22.8849,499.7481,,2193.4797,
47,603379,三美股份,44.52,24.86,39.5897,1107.7143,2.9435,4454.3324,11.8364
48,301059,金三江,44.4,28.97,52.1155,47.6749,,164.5207,
49,688526,科前生物,44.38,52.89,84.4248,388.9694,,735.3001,
50,600516,方大炭素,44.29,48.0,75.0978,5592.8091,3.0944,11650.9544,6.4462
51,300977,深圳瑞捷,44.12,20.89,56.1083,64.8532,,310.3898,
52,688169,石头科技,43.97,10.08,28.7873,307.5878,,3051.2504,
53,301051,信濠光电,43.83,13.1,29.8553,146.5329,,1118.4951,
54,601003,柳钢股份,43.78,9.73,14.3945,4609.6988,1.7987,47351.1102,18.4763
55,605389,长龄液压,43.75,28.55,39.8288,159.5897,,558.7991,
56,688700,东威科技,43.46,15.51,42.9534,63.221,,407.3949,
57,688786,悦安新材,43.39,20.8,43.1661,43.3642,,208.4671,
58,000055,方大集团,43.23,73.67,23.3128,2246.1646,1.9439,3048.6802,2.6384
59,000048,京基智农,43.08,12.72,42.8565,437.395,1.1193,3436.9409,8.7953
60,600955,维远股份,43.05,5.98,17.4184,285.8082,,4779.2741,
61,688618,三旺通信,42.64,34.95,65.3123,51.3796,,147.0011,
62,000672,上峰水泥,42.61,27.75,46.7035,1472.3558,1.8096,5304.5767,6.5197
63,300816,艾可蓝,42.29,18.61,36.6242,82.8895,,445.2492,
64,688016,心脉医疗,41.93,39.21,78.8145,90.6479,,231.1275,
65,688682,霍莱沃,41.82,19.18,38.7864,29.8208,,155.4423,
66,000629,攀钢钒钛,41.76,20.38,27.5152,3090.1767,0.3597,15161.4018,1.765
67,300107,建新股份,41.61,46.25,63.785,656.014,1.1974,1418.2942,2.5888
