,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,000707,*ST双环,86.13,18.78,6.0244,341.797,0.7364,1819.3309,3.9197
1,600793,宜宾纸业,59.91,31.28,17.3131,217.7892,2.0682,696.1194,6.6108
2,000526,学大教育,58.8,6.1,32.9016,101.0969,1.0509,1656.9388,17.2247
3,300861,美畅股份,40.85,53.68,68.7078,781.3685,2.1704,1455.4585,4.0429
4,600408,ST安泰,39.43,11.52,11.2574,447.255,0.4442,3881.2898,3.855
5,000516,国际医学,37.75,137.12,20.3238,2208.9102,1.1206,1610.9027,0.8172
6,000717,韶钢松山,37.52,14.49,19.1839,1756.7533,0.726,12120.878,5.0096
7,600678,四川金顶,33.92,9.95,21.0348,16.4685,0.0471,165.3754,0.4738
8,300618,寒锐钴业,33.87,35.19,56.2642,528.7792,2.754,1502.4412,7.8252
9,600319,*ST亚星,33.75,1.54,10.6357,16.3711,0.0518,1061.5165,3.3635
10,300983,尤安设计,33.63,21.96,46.1607,56.2869,2.2514,256.2431,10.2497
11,000720,新能泰山,33.61,77.71,14.8766,562.4881,0.4361,723.7957,0.5612
12,300776,帝尔激光,33.43,48.25,63.3071,76.2408,1.5374,157.9933,3.186
13,600671,ST目药,32.31,14.39,36.5919,32.0395,0.263,222.5283,1.8273
14,600516,方大炭素,32.3,52.05,81.0618,3166.5606,1.7702,6082.6769,3.4004
15,600507,方大特钢,31.22,15.85,31.3634,1305.8634,0.9006,8238.2265,5.682
16,603489,八方股份,30.9,24.03,38.2906,111.3584,,463.2487,
17,603379,三美股份,30.58,26.37,42.6391,606.2293,,2298.8928,
18,301002,崧盛股份,29.87,11.83,25.8935,22.8115,1.0425,192.6792,8.8061
19,600802,福建水泥,29.45,17.78,34.0958,225.1864,0.5896,1266.441,3.3163
20,000422,湖北宜化,29.24,3.81,18.7706,238.2143,0.2653,6237.2366,6.9467
21,300821,东岳硅材,27.93,25.04,39.3499,448.3468,,1790.0487,
22,300176,派生科技,27.87,18.3,70.0282,382.4297,1.8762,2088.9868,10.2485
