,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600725,云维股份,1610.61,82.54,-1.7784,1544.5634,1.2532,1871.1586,1.5182
1,000504,南华生物,412.63,32.35,32.2189,21.7561,0.0698,67.2514,0.2158
2,600319,*ST亚星,364.4,1.83,4.2111,26.7817,0.0848,1457.4376,4.618
3,600265,*ST景谷,166.14,47.66,6.9047,33.7095,0.2597,70.7183,0.5448
4,600306,*ST商城,165.4,11.45,17.7831,110.7098,0.6214,966.8276,5.4273
5,300791,仙乐健康,155.87,92.09,32.2551,724.7721,,787.0064,
6,000505,京粮控股,112.61,7.56,27.1681,73.3006,0.1717,969.1409,2.271
7,002959,小熊电器,87.24,10.0,33.7072,105.51,,1054.3041,
8,300901,中胤时尚,82.81,6.14,15.6168,24.0096,,390.6947,
9,688188,柏楚电子,74.61,61.5,81.8962,75.1672,,122.2033,
10,300866,安克创新,72.34,12.96,53.9209,325.316,8.9868,2509.0892,69.3135
11,003032,传智教育,72.33,18.82,46.7495,101.128,17.2227,537.2746,91.5012
12,688499,利元亨,69.59,5.5,30.6869,12.6033,,228.9726,
13,605118,力鼎光电,69.07,36.73,54.4018,87.8491,,239.1686,
14,002968,新大正,67.3,11.34,21.3581,70.2609,1.4052,619.2031,12.384
15,000037,深南电A,67.26,83.01,8.3342,1306.6948,2.1678,1574.089,2.6114
16,605333,沪光股份,67.03,7.92,17.9433,100.9031,,1273.6536,
17,600129,太极集团,66.43,10.95,30.4135,853.3185,1.9989,7788.0557,18.2435
18,300903,科翔股份,61.9,4.26,21.9797,40.003,,937.7901,
19,603587,地素时尚,61.35,28.77,75.0556,522.3388,1.5362,1815.5014,5.3397
20,300989,蕾奥规划,60.37,13.95,44.123,20.9716,1.0485,150.3128,7.5156
21,002841,视源股份,59.59,9.0,20.7773,741.9562,2.0439,8237.9416,22.694
22,300782,卓胜微,58.42,21.84,62.1069,84.1594,1.1221,385.2093,5.1361
23,603195,公牛集团,57.48,26.22,45.1694,1407.4502,,5366.4816,
24,688083,中望软件,57.37,16.34,95.7621,22.6279,0.5656,138.409,3.4602
25,603709,中源家居,56.84,12.37,30.311,73.2209,1.2203,591.7424,9.8623
26,688516,奥特维,56.8,17.05,44.6888,74.4333,1.654,436.4029,9.6978
27,002951,金时科技,56.5,34.11,47.1619,277.5551,0.7709,813.5149,2.2597
28,002962,五方光电,56.48,30.44,50.5758,138.3914,,454.6282,
29,688088,虹软科技,56.1,30.79,92.2988,80.3639,,261.0011,
30,605090,九丰能源,56.04,3.75,12.4922,281.1516,,7484.2014,
31,688606,奥泰生物,56.0,20.09,59.2162,15.2096,,75.6996,
32,688228,开普云,55.98,19.06,65.7482,20.2408,2.024,106.1709,10.617
33,002027,分众传媒,55.7,43.58,70.439,4451.2117,0.5094,10213.1343,1.1689
34,605398,新炬网络,55.5,23.04,55.7321,67.038,,290.8556,
35,605055,迎丰股份,54.91,19.2,37.2565,131.1091,,682.8231,
36,603565,中谷物流,54.02,11.17,13.9145,456.0543,3.1604,4082.1832,28.2895
37,002995,天地在线,53.92,4.94,20.9261,49.2948,,995.9587,
38,300628,亿联网络,53.73,46.8,63.131,432.3233,7.72,923.7407,16.4953
39,300876,蒙泰高新,53.52,14.65,24.6777,41.5243,,283.2846,
40,002925,盈趣科技,53.08,27.02,42.0572,445.4757,1.1718,1648.4114,4.336
41,300751,迈为股份,52.3,30.99,52.4198,107.029,2.7443,345.2954,8.8537
42,003008,开普检测,51.97,55.56,86.0775,73.9707,,133.1127,
43,605168,三人行,51.65,19.66,38.9913,72.5533,1.4006,368.8615,7.1208
44,603489,八方股份,51.42,22.8,39.1543,89.3391,,391.7139,
45,605179,一鸣食品,51.38,11.89,39.2324,149.2306,,1254.1889,
46,688390,固德威,51.16,12.33,34.7201,52.3686,0.9974,424.6768,8.089
47,300892,品渥食品,51.16,5.24,42.8323,57.5748,,1098.6597,
48,003028,振邦智能,50.65,25.84,37.7009,90.789,,351.3291,
49,600338,西藏珠峰,50.1,44.03,70.0996,650.257,0.9957,1476.7552,2.2614
50,003019,宸展光电,49.38,10.05,22.6008,122.9527,,1223.3153,
51,300842,帝科股份,49.18,8.04,22.8936,23.5801,,293.1299,
52,300977,深圳瑞捷,48.52,26.83,54.1732,30.7774,,114.6933,
53,300983,尤安设计,48.26,16.15,41.3929,62.5396,2.8427,387.1836,17.5992
54,600213,亚星客车,48.17,1.83,19.0779,62.3078,0.2832,3395.744,15.4351
55,605258,协和电子,48.04,16.82,33.8575,56.3072,0.9384,334.651,5.5775
56,601399,国机重装,47.8,10.85,17.5499,358.3162,0.108,3301.9733,0.9956
57,605117,德业股份,47.54,9.73,24.6232,90.5286,,930.3302,
58,688330,宏力达,47.44,21.27,50.7777,67.2545,,316.1434,
59,600186,莲花健康,47.42,3.69,9.9597,65.2474,0.0614,1766.7727,1.6635
60,300894,火星人,47.18,16.26,48.2822,56.5024,,347.3299,
61,300590,移为通信,47.11,35.26,61.2969,95.2694,1.5878,270.1542,4.5025
62,603068,博通集成,46.67,19.88,36.4701,104.121,1.0008,523.6228,5.0331
63,300861,美畅股份,46.2,50.92,70.2451,94.0036,,184.5748,
64,300905,宝丽迪,46.16,12.37,23.6506,54.746,,442.468,
65,002983,芯瑞达,46.15,18.68,32.0834,85.1346,,455.6511,
66,002920,德赛西威,46.06,10.39,26.9486,590.2807,1.3117,5678.0335,12.6178
67,003011,海象新材,45.95,9.04,31.0086,18.8271,,208.1809,
68,603156,养元饮品,45.87,30.79,49.9298,2740.6942,5.5367,8900.349,17.9805
69,603579,荣泰健康,45.79,16.08,38.1581,206.6456,3.9361,1285.0497,24.4771
70,000820,*ST节能,45.53,38.51,61.9579,333.3022,0.523,865.3507,1.3579
71,300863,卡倍亿,45.22,5.57,17.5178,39.2043,,703.548,
72,603353,和顺石油,45.15,8.66,21.3045,143.3669,,1654.3765,
73,688526,科前生物,45.1,47.68,79.0038,186.1577,,390.3976,
74,603610,麒盛科技,44.72,9.15,38.4201,115.8432,,1265.3926,
75,605288,凯迪股份,44.53,28.94,45.8988,163.4615,,564.6889,
76,603529,爱玛科技,44.34,6.96,16.9366,449.1163,,6443.8501,
77,688568,中科星图,44.1,17.63,53.0748,14.8703,,84.3427,
78,605089,味知香,44.01,14.26,24.489,41.4779,,290.7199,
79,605098,行动教育,43.75,25.1,73.5892,65.5973,1.037,261.2952,4.131
80,688229,博睿数据,43.71,29.56,81.5954,30.8232,,104.2549,
