,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600751,海航科技,43.75,7.87,16.0365,47.263,0.0959,600.1192,1.2181
1,600617,国新能源,32.84,4.02,11.5994,6.2884,0.0376,156.1057,0.9336
2,600309,万华化学,29.26,18.82,38.4995,480.2425,0.5658,2551.2558,3.0062
3,600428,中远海特,28.14,19.93,35.712,562.721,0.8588,2822.1473,4.3073
4,000039,中集集团,28.09,10.28,17.2522,2649.6242,1.3136,25763.2297,12.7732
5,000792,盐湖股份,27.7,35.76,73.3581,432.6004,0.5636,1209.4693,1.5757
6,000552,靖远煤电,26.76,23.58,29.9753,22.8298,0.1283,96.8042,0.5442
7,000933,神火股份,25.6,31.34,55.8648,368.3052,0.7366,1174.8272,2.3496
8,001872,招商港口,25.24,35.91,68.9608,519.7742,0.8061,1447.1347,2.2444
9,000538,云南白药,23.03,9.87,28.6601,176.0038,0.6071,1782.9841,6.1508
10,600615,*ST丰华,22.64,72.51,28.5854,64.8296,0.431,89.4029,0.5943
11,000572,海马汽车,22.6,2.23,4.4694,64.7161,0.2997,2889.8937,13.3856
12,600875,东方电气,22.46,18.92,33.1548,357.4479,0.7943,1888.5808,4.1968
13,600123,兰花科创,21.8,26.2,56.0991,337.1139,0.908,1286.6243,3.4656
14,002025,航天电器,21.46,36.7,67.4067,80.1335,0.8347,218.3019,2.2739
15,600026,中远海能,21.24,33.86,43.6059,2156.1817,0.6482,6366.9192,1.9142
16,600096,云天化,20.96,25.61,43.1166,530.1072,1.0082,2069.3096,3.9358
17,600320,振华重工,20.89,10.24,13.6862,888.93,0.5768,8679.444,5.6326
18,600858,银座股份,20.86,3.14,15.4752,36.7022,0.3024,1165.8991,9.6079
19,001696,宗申动力,20.85,5.39,12.1747,63.0667,0.3544,1169.4996,6.573
20,600616,金枫酒业,20.8,3.99,16.6443,116.4267,0.3821,2914.7184,9.5679
21,000951,中国重汽,20.67,2.18,8.0596,101.9605,0.4014,4674.1326,18.4039
22,002024,苏宁易购,20.64,1.88,9.5226,213.7473,1.1472,11345.1577,60.8907
23,000066,中国长城,20.57,20.38,7.6346,363.4223,0.7926,1782.4638,3.8876
24,600022,山东钢铁,20.53,4.4,11.293,818.2682,0.8704,18588.6974,19.7752
25,000617,中油资本,20.45,14.76,25.4334,87.4615,0.438,592.1663,2.9655
26,600886,国投电力,20.07,14.04,35.4317,324.308,0.5755,2308.9145,4.0975
27,600500,中化国际,19.95,4.84,9.083,593.2162,0.4716,12253.1908,9.7425
28,600596,新安股份,18.88,7.79,28.035,139.8362,0.6133,1793.5949,7.867
29,000912,泸天化,18.07,13.7,32.0741,359.5078,0.6145,2622.6491,4.4831
30,000731,四川美丰,17.95,21.47,30.9514,194.7809,0.7928,907.1116,3.6924
31,600837,海通证券,17.52,57.89,18.6892,103.0288,0.3738,177.9527,0.6457
32,600331,宏达股份,17.47,9.21,30.825,169.7551,0.408,1842.657,4.4294
33,600348,华阳股份,17.45,8.15,26.0317,438.5527,0.9117,5378.1784,11.1812
34,600749,西藏旅游,17.38,10.72,22.3702,19.4646,0.2433,181.4141,2.2676
35,600583,海油工程,17.28,13.28,19.157,368.3017,0.93,2771.6317,6.999
36,000983,山西焦煤,17.05,18.45,39.8896,739.7993,0.6103,4008.2197,3.3071
37,600362,江西铜业,16.8,13.23,24.3572,1343.9647,0.4642,10158.3611,3.5088
38,600508,上海能源,16.51,11.65,31.6148,330.8898,0.8241,2839.5347,7.0721
39,600817,宇通重工,16.51,0.98,4.6585,36.6801,0.3704,3713.6723,37.5036
40,000937,冀中能源,16.39,19.64,46.6555,478.8678,0.6113,2437.1918,3.1114
41,600636,国新文化,16.05,6.68,19.9211,103.5242,0.4263,1549.3391,6.3806
42,000895,双汇发展,16.0,2.83,11.0264,273.2895,0.5321,9626.3418,18.7445
43,000651,格力电器,15.84,3.23,18.9053,420.14,0.7824,12980.6195,24.1751
44,600971,恒源煤电,15.64,17.88,39.7123,146.7245,0.7787,820.5515,4.3553
45,000898,鞍钢股份,15.63,8.11,14.8694,1713.358,0.5782,21121.625,7.1284
46,000960,锡业股份,15.46,9.47,21.3408,260.2896,0.4848,2747.5511,5.1178
47,600533,栖霞建设,15.41,10.76,29.0048,99.7849,0.4751,927.2389,4.4154
48,600438,通威股份,15.26,3.46,9.6988,104.3559,0.6071,3009.7299,17.5106
49,600010,包钢股份,15.21,6.94,8.865,1007.6413,0.7107,14499.0777,10.2274
50,600675,中华企业,15.2,18.84,47.2182,286.0725,0.4101,1518.1938,2.1767
51,000726,鲁泰A,15.18,15.28,31.7751,255.1627,0.604,1669.5209,3.9521
52,000550,江铃汽车,15.14,9.04,20.4653,425.1972,0.4925,4702.1444,5.4472
53,000060,中金岭南,15.05,6.59,28.0205,205.5663,0.4758,3119.0798,7.22
54,600519,贵州茅台,14.9,27.22,82.5411,702.4857,1.4886,2580.3189,5.4679
55,600660,福耀玻璃,14.88,15.06,30.8061,317.3836,0.3169,2107.3211,2.1041
56,600686,金龙汽车,14.83,1.38,12.8951,75.9815,0.5014,5490.4192,36.2361
57,600418,江淮汽车,14.73,5.47,19.0228,392.5618,0.6921,7170.2287,12.6421
58,000635,英力特,14.66,9.09,27.3766,28.0917,0.2043,308.8028,2.2462
59,600456,宝钛股份,14.6,11.79,25.9828,106.3331,0.5314,901.7478,4.5069
60,000157,中联重科,14.56,9.92,26.211,241.7929,0.4769,2436.7845,4.8062
61,600415,小商品城,14.54,14.69,37.8545,133.6462,1.0694,909.6047,7.2786
62,600227,圣济堂,14.51,19.79,34.685,145.5557,0.8562,735.1971,4.3246
63,600019,宝钢股份,14.48,12.5,25.7501,10451.5919,0.5968,83605.6014,4.7741
64,600408,ST安泰,14.46,9.5,27.8445,142.2543,0.3638,1497.309,3.8294
65,600176,中国巨石,14.43,9.43,31.5836,103.1071,0.2412,1093.192,2.5578
66,000088,盐田港,14.41,97.8,52.6484,454.9299,0.3654,465.1189,0.3735
67,600808,马钢股份,14.32,10.82,16.5569,2680.2785,0.4152,24768.9952,3.837
68,600475,华光环能,14.3,6.08,18.0452,87.9474,0.3435,1446.0226,5.6485
69,600549,厦门钨业,14.25,5.22,19.2644,110.8578,0.4619,2121.6017,8.84
70,600231,凌钢股份,14.24,7.44,13.202,349.4019,0.6669,4694.8495,8.9613
