,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,000670,*ST盈方,45.63,1.76,9.0691,12.0108,,680.0358,
1,300344,立方数科,44.92,42.97,30.1835,43.335,0.0873,100.8473,0.2032
2,688068,热景生物,44.73,48.98,66.1425,601.3246,9.6681,1227.5591,19.7368
3,600331,宏达股份,42.29,5.94,9.5629,36.2608,0.0178,610.0164,0.3002
4,000422,湖北宜化,39.38,5.96,16.4714,212.3212,0.2364,3561.8553,3.967
5,300981,中红医疗,35.42,61.68,74.7869,1402.4401,11.2195,2273.4684,18.1877
6,688767,博拓生物,34.42,47.4,,233.1535,,491.8313,
7,600132,重庆啤酒,33.53,9.02,51.0033,295.3249,0.6102,3272.4035,6.7615
8,688298,东方生物,32.64,53.06,75.3173,1186.3553,9.8862,2235.8563,18.6321
9,000692,惠天热电,31.83,12.95,12.1388,134.7702,,1039.896,
10,600961,株冶集团,31.3,1.41,3.6072,57.3381,0.1087,4055.8099,7.6893
11,300677,英科医疗,28.48,55.47,70.4768,3735.7227,10.6059,6734.6618,19.1201
12,002169,智光电气,26.02,337.43,12.861,1063.9961,1.3506,315.3146,0.4002
13,601919,中远海控,25.98,23.83,33.2086,15452.3318,1.2604,64842.8095,5.2891
14,002900,哈三联,24.08,244.72,63.8169,563.2999,1.7792,230.1791,0.727
15,002932,明德生物,23.44,50.4,76.6629,341.2454,4.9452,676.957,9.8102
16,002259,ST升达,23.19,6.64,19.3479,17.8911,0.0237,269.1132,0.3577
17,002030,达安基因,20.91,48.23,75.9481,1128.6232,1.2866,2339.885,2.6675
18,301047,义翘神州,20.37,72.75,,332.2075,,456.5855,
19,600610,中毅达,20.18,6.79,15.1283,22.7636,0.0212,335.1151,0.3128
20,002893,华通热力,19.99,25.36,33.8338,151.3177,,596.5759,
21,002592,ST八菱,19.33,105.95,15.9652,166.3703,0.5871,157.0235,0.5542
22,603393,新天然气,19.1,98.8,40.2991,649.9516,2.0725,657.8323,2.0976
23,688399,硕世生物,18.87,45.22,73.618,387.3863,6.6084,856.5114,14.6112
24,600809,山西汾酒,18.23,29.76,73.5354,2182.0538,2.5037,7332.0711,8.4128
25,300350,华鹏飞,18.21,158.86,25.7131,96.1225,0.2016,60.5075,0.1269
26,300410,正业科技,17.3,31.21,41.7142,128.5957,0.3439,411.9125,1.1018
27,001210,金房节能,16.55,23.81,30.0864,103.982,1.5278,436.6508,6.4158
28,600779,水井坊,16.41,33.82,85.0539,419.4233,0.8587,1240.0916,2.5389
29,000792,盐湖股份,16.12,26.29,48.3875,793.1357,0.1459,3016.5951,0.5552
30,000890,法尔胜,15.34,2.51,5.2217,3.0131,0.0071,119.7697,0.2855
31,605499,东鹏饮料,15.16,19.97,49.5424,341.8895,0.9496,1711.2617,4.7535
32,002445,中南文化,14.84,271.47,21.2532,281.7739,0.1172,103.7944,0.0432
33,600684,珠江股份,14.81,20.83,48.1682,366.6476,0.4296,1759.8827,2.062
34,300222,科大智能,14.38,65.53,22.7995,262.5283,,400.6173,
35,001203,大中矿业,13.83,47.95,74.4036,351.6377,0.2727,733.3334,0.5688
36,300783,三只松鼠,13.74,8.58,31.3934,315.0398,0.7856,3670.9085,9.1543
37,002382,蓝帆医疗,13.54,54.26,68.8297,1718.386,1.6405,3166.6857,3.0232
38,301050,雷电微力,13.51,29.16,,79.2529,,271.7303,
39,688139,海尔生物,13.17,101.5,50.2168,419.8395,1.3241,413.6272,1.3045
40,000048,京基智农,12.84,20.07,61.9153,405.614,1.0077,2020.31,5.0195
41,000638,*ST万方,12.69,52.5,33.1218,15.9403,0.0515,30.3598,0.0981
42,002064,华峰化学,12.41,28.3,38.6605,1640.05,0.3539,5793.9801,1.2504
43,300146,汤臣倍健,12.25,36.72,66.8886,816.3012,0.5163,2222.5009,1.4057
44,600746,江苏索普,12.18,32.49,43.2368,545.6094,0.5204,1679.1841,1.6017
45,601156,东航物流,12.09,15.03,26.3509,679.128,0.4753,4515.5037,3.1603
46,600309,万华化学,12.06,21.14,32.1313,6621.37,2.1088,31312.4261,9.9729
47,603882,金域医学,11.97,20.08,47.0981,538.0902,1.171,2678.8279,5.83
48,002714,牧原股份,11.89,34.55,45.8801,6963.072,1.8522,20152.096,5.3605
49,600966,博汇纸业,11.75,19.99,33.4204,810.5377,0.6063,4052.7194,3.0315
50,002524,光正眼科,11.62,21.1,34.3118,40.4681,0.0783,191.7409,0.3713
51,688289,圣湘生物,11.59,53.49,73.8181,622.1049,1.5552,1162.8347,2.907
52,000727,冠捷科技,11.56,1.2,11.9912,199.7232,0.044,16622.4777,3.6697
53,688511,天微电子,11.5,57.07,73.9297,28.54,,50.0006,
54,601888,中国中免,11.3,15.71,39.1098,2848.8196,1.459,18133.5289,9.2874
55,301026,浩通科技,11.21,15.15,16.3942,71.0237,0.8355,468.7026,5.5141
56,603010,万盛股份,11.15,21.58,37.7705,203.7514,0.5878,944.13,2.7237
57,688303,大全能源,11.07,35.03,,582.0296,0.3581,1661.3745,1.0223
58,600678,四川金顶,11.03,27.23,44.5761,20.4943,0.0587,75.2452,0.2156
59,300942,易瑞生物,10.79,59.63,84.0553,87.6104,0.2185,146.9179,0.3665
