,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,002210,*ST飞马,6405.63,3365.41,22.685,8281.3405,,246.0718,
1,002501,*ST利源,233.27,4731.5,-121.1378,4928.8022,1.3883,104.1698,0.0293
2,002164,宁波东力,233.11,118.0,28.7884,1460.5238,2.7444,1237.6565,2.3256
3,002076,ST雪莱,211.26,13.08,33.5349,43.7505,,334.2967,
4,600132,重庆啤酒,183.98,9.84,50.6073,1076.8385,2.225,10941.6312,22.608
5,002259,ST升达,180.44,10.97,15.7198,105.2337,,958.5008,
6,002069,獐子岛,118.12,0.77,17.3456,14.8495,0.0208,1926.661,2.7093
7,600961,株冶集团,112.72,1.07,5.2699,158.8612,0.3011,14765.4551,27.9936
8,600083,*ST博信,107.25,4.44,6.8455,10.8668,0.0472,244.3955,1.0625
9,300981,中红医疗,104.21,55.74,,2663.5187,21.3081,4778.4069,38.2272
10,688767,博拓生物,97.97,50.28,74.7872,435.1467,5.4393,865.3715,10.8171
11,000890,法尔胜,95.97,3.41,-15.9198,15.9554,0.038,467.059,1.1133
12,000806,ST银河,87.15,5.27,34.828,58.3098,0.053,1105.9757,1.0055
13,301047,义翘神州,86.82,70.63,,1127.6075,,1596.293,
14,000670,*ST盈方,82.74,1.86,8.0143,13.0486,0.0159,699.9661,0.8571
15,300677,英科医疗,74.99,50.64,69.0294,7007.0482,19.8937,13836.7145,39.2838
16,002113,ST天润,72.97,44.04,26.512,278.0631,0.184,631.3639,0.4179
17,688606,奥泰生物,69.84,59.84,,679.6856,,1135.6741,
18,688298,东方生物,68.57,51.36,79.2434,1677.3587,13.9779,3265.3556,27.2112
19,688670,金迪克,63.9,26.3,87.4944,154.9794,2.3481,589.0987,8.9257
20,688317,之江生物,63.72,45.41,74.6047,932.0094,6.3823,2052.1419,14.053
21,603301,振德医疗,60.95,24.51,46.9666,2549.4532,11.2209,10398.5456,45.7672
22,300461,田中精机,58.46,23.5,40.0035,85.5196,0.6588,363.7659,2.8023
23,002030,达安基因,57.37,45.85,70.7608,2449.0902,2.792,5341.2096,6.0892
24,001201,东瑞股份,56.67,49.85,59.9739,681.2864,7.1714,1366.4783,14.3839
25,688289,圣湘生物,55.13,54.93,79.6355,2616.597,6.5414,4762.9639,11.9074
26,002714,牧原股份,54.45,48.77,60.6795,27451.4219,7.2796,56277.0656,15.0158
27,002607,中公教育,53.9,20.57,59.2294,2304.3577,0.3736,11202.4943,1.8164
28,002605,姚记科技,53.07,42.67,57.2127,1093.3615,2.7196,2561.8958,6.3724
29,300418,昆仑万维,51.59,182.28,79.1938,4993.1954,,2739.2721,
30,688511,天微电子,51.34,47.98,70.8301,112.7221,,234.8993,
31,600610,中毅达,50.65,4.22,13.9929,45.5583,0.0425,1078.9407,1.0071
32,605296,神农集团,50.36,41.76,49.1436,1137.9188,3.1591,2724.4816,7.5638
33,300989,蕾奥规划,49.6,19.16,,94.4101,2.098,492.5794,10.9462
34,000792,盐湖股份,49.51,14.55,41.3569,2039.5074,0.3754,14016.2606,2.5798
35,300985,致远新能,49.37,17.03,,224.8094,,1319.7021,
36,000727,冠捷科技,49.36,1.08,12.7971,745.8304,0.1646,68555.5008,15.1351
37,600462,ST九有,49.27,10.57,29.0192,20.3931,0.0349,192.9026,0.3303
38,688399,硕世生物,49.23,47.11,77.5902,819.5673,13.981,1739.6807,29.6772
39,002681,奋达科技,47.23,30.11,17.4433,1065.4852,0.5839,3537.7287,1.9388
40,002555,三七互娱,45.73,19.17,87.7929,2760.9515,1.3071,14399.7031,6.8172
41,300957,贝泰妮,45.32,20.19,,543.5079,,2691.8041,
42,601156,东航物流,45.31,15.67,26.9408,2368.7401,1.6578,15110.6992,10.5757
43,300844,山水比德,45.15,21.07,54.56,103.3005,,490.2148,
44,002838,道恩股份,44.45,19.33,27.7518,855.0747,2.0958,4422.3302,10.8397
45,605117,德业股份,43.8,12.49,24.0125,377.9381,2.9526,3023.8419,23.6237
46,600234,山水文化,43.38,5.05,14.4386,56.304,0.2781,1113.9726,5.5025
47,300951,博硕科技,43.37,23.88,47.9108,163.9801,2.733,686.4022,11.44
48,002932,明德生物,42.56,48.89,78.2092,468.9278,6.7955,959.0992,13.8989
49,605499,东鹏饮料,42.44,16.37,46.5999,812.0635,2.2557,4958.5026,13.7736
50,300983,尤安设计,41.07,31.57,49.7929,292.287,4.8714,925.5605,15.426
51,300782,卓胜微,40.33,38.42,52.8377,1072.7925,5.9599,2792.1475,15.5119
52,301003,江苏博云,40.29,24.36,38.1244,110.8624,,454.9964,
53,300122,智飞生物,40.02,21.73,38.9876,3301.3268,2.0633,15190.3662,9.4939
54,603882,金域医学,39.86,18.31,46.6853,1509.7019,3.2856,8243.7635,17.9412
55,002950,奥美医疗,39.76,30.18,41.7167,1157.5266,1.8278,3834.498,6.0551
56,000576,甘化科工,39.63,131.73,38.6535,678.1405,1.5312,514.7832,1.1624
57,688667,菱电电控,39.61,20.57,33.1787,156.845,4.0528,762.4129,19.7005
58,002582,好想你,39.24,71.8,25.2289,2155.0541,,3001.3757,
59,300869,康泰医学,39.09,43.77,58.2491,613.3954,1.5266,1401.2253,3.4873
60,301000,肇民科技,38.76,21.06,,104.2024,,494.589,
61,688621,阳光诺和,38.31,20.86,,72.4649,,347.3564,
62,688665,四方光电,38.1,27.43,47.1605,84.4747,1.609,307.9064,5.8648
63,301075,多瑞医药,37.95,18.76,90.9444,91.9886,,490.1647,
64,688625,呈和科技,37.88,25.39,,116.5284,1.1652,458.9188,4.5891
65,688661,和林微纳,37.83,26.76,,61.3964,,229.3817,
66,300246,宝莱特,37.7,24.79,46.7222,346.1475,2.3694,1396.0136,9.5559
67,002553,南方轴承,37.64,84.42,33.4448,393.4205,1.1305,465.9774,1.339
