,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600136,当代文体,31.03,226.93,56.4173,29.8904,0.2861,13.1716,0.1261
1,000638,*ST万方,23.9,10.9,33.0053,6.4021,0.0413,58.7315,0.3796
2,000792,盐湖股份,19.73,39.91,81.6107,706.5564,0.9205,1770.2012,2.3063
3,600387,ST海越,17.46,103.18,6.3359,158.6132,0.534,153.7183,0.5175
4,000631,顺发恒业,14.5,16.16,35.7884,177.8979,0.1701,1100.5318,1.0526
5,000568,泸州老窖,13.25,41.39,62.9512,531.3858,0.3811,1283.798,0.9207
6,300077,国民技术,12.66,21.28,42.859,14.996,0.2026,70.4534,0.952
7,002128,露天煤业,12.51,33.19,57.2029,337.2593,0.3965,1015.992,1.1946
8,600875,东方电气,12.44,4.41,14.9188,318.5919,0.3612,7218.838,8.1846
9,600588,用友网络,12.07,84.72,83.1367,258.7115,0.5543,305.3644,0.6543
10,000806,ST银河,11.82,66.44,20.4879,139.3717,0.1993,209.7613,0.2999
11,600366,宁波韵升,10.86,98.84,17.0422,160.655,0.4059,162.5277,0.4106
12,000869,张裕A,10.5,23.73,70.2029,298.502,0.5661,1257.455,2.3847
13,000858,五粮液,9.97,37.75,67.4453,1260.6593,0.3321,3338.8507,0.8795
14,600519,贵州茅台,9.76,48.43,89.9923,1217.0095,1.2894,2512.5372,2.6621
15,600276,恒瑞医药,9.63,29.89,83.6716,212.7111,0.4112,711.5614,1.3755
16,600809,山西汾酒,9.6,25.41,76.3183,155.8412,0.3599,613.1126,1.4162
17,600970,中材国际,9.27,3.67,12.7625,107.0105,0.6369,2909.3612,17.3176
18,000597,东北制药,9.1,11.27,35.2312,157.3853,0.4714,1396.2345,4.1827
19,000036,华联控股,9.07,22.24,56.2457,117.4244,0.1044,527.8034,0.4696
20,000983,山西焦煤,9.03,30.87,51.5372,924.0753,0.3812,2992.5869,1.2345
21,000950,重药控股,8.74,17.76,22.5948,92.6435,0.2973,521.5881,1.6738
22,000686,东北证券,8.58,52.62,68.4325,213.4132,0.3671,405.5439,0.6977
23,000416,民生控股,8.49,33.61,17.0759,59.3874,0.1116,176.6871,0.3321
24,600177,雅戈尔,8.34,30.13,34.3367,883.9786,0.397,2933.3709,1.3174
25,600983,惠而浦,8.33,13.3,40.2654,53.5314,0.1607,402.3426,1.2082
26,000988,华工科技,8.17,26.64,24.3773,80.3338,0.2442,301.4981,0.9166
27,600616,金枫酒业,8.12,24.26,59.0736,79.7984,0.2182,328.8953,0.8997
28,601699,潞安环能,8.12,17.78,38.1026,695.0223,0.604,3908.8748,3.3974
29,600195,中牧股份,8.08,19.94,46.0365,96.8033,0.2482,485.3279,1.2444
30,601001,晋控煤业,7.92,26.71,63.7363,546.2942,0.6527,2044.5408,2.4431
31,600958,东方证券,7.78,53.35,,577.6368,0.1753,1082.6705,0.3286
32,601099,太平洋,7.53,62.56,62.5622,112.4287,0.0747,179.7008,0.1195
33,000540,中天金融,7.5,17.92,39.5757,59.0658,0.1034,329.4868,0.5771
34,600818,中路股份,7.34,15.97,10.26,26.2732,0.0988,164.4867,0.6191
35,000010,美丽生态,7.15,12.33,35.4055,2.9884,0.0203,24.2246,0.1647
36,000963,华东医药,7.13,3.46,18.6019,57.7739,0.1331,1666.9356,3.8403
37,600729,重庆百货,7.11,2.92,14.6989,63.1522,0.3095,2159.0641,10.5836
38,002425,凯撒文化,7.1,19.91,48.1693,14.2568,0.1782,71.5996,0.8949
39,000333,美的集团,7.08,3.01,20.6917,395.1615,0.3951,13117.4194,13.1174
40,000651,格力电器,7.01,6.13,24.1168,554.2363,0.4425,9032.6844,7.2123
41,600889,南京化纤,6.93,36.85,-3.8091,52.3159,0.2044,141.9403,0.5546
42,600348,华阳股份,6.89,7.62,16.7765,341.6508,0.3551,4482.0516,4.659
43,000712,锦龙股份,6.89,255.63,34.0666,38.5594,0.1265,15.0835,0.0495
44,600329,中新药业,6.84,13.51,44.9263,91.645,0.2479,678.088,1.8343
45,000895,双汇发展,6.77,2.82,11.9345,173.7719,0.2867,6157.0641,10.1602
46,002267,陕天然气,6.76,23.17,30.1502,148.8573,0.2927,642.2405,1.2632
47,002041,登海种业,6.76,22.08,60.6561,48.2451,0.2741,218.4532,1.2412
48,002093,国脉科技,6.74,20.35,50.273,30.322,0.1135,148.9382,0.5578
49,600202,哈空调,6.71,18.71,30.571,67.8398,0.2123,362.5752,1.1349
50,002022,科华生物,6.7,33.14,54.9333,44.1539,0.1399,133.2261,0.4221
51,002001,新和成,6.68,25.05,49.1628,131.1158,0.3833,523.2081,1.5295
