,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600083,*ST博信,70.59,8.76,7.1966,14.3832,0.0625,164.0371,0.7132
1,002234,民和股份,52.63,53.8,58.3539,1252.3255,4.1461,2327.6988,7.7064
2,002458,益生股份,51.03,61.55,64.5002,1468.5404,2.5493,2385.9298,4.1419
3,600768,宁波富邦,49.36,26.15,2.9585,113.1918,0.8463,432.7077,3.2352
4,688169,石头科技,45.13,19.21,,582.1431,,3029.9925,
5,000526,学大教育,44.25,2.62,28.9958,63.9875,0.6651,2433.3378,25.2958
6,600132,重庆啤酒,43.93,19.63,41.7769,593.8766,1.227,3025.3141,6.251
7,003021,兆威机电,42.13,17.81,30.5639,232.5351,2.9066,1305.5077,16.3188
8,002607,中公教育,37.82,15.56,57.6068,958.8631,0.1554,6159.1079,0.9986
9,002161,远望谷,37.66,177.9,43.9665,779.299,1.0534,438.0419,0.5921
10,300571,平治信息,36.26,16.69,35.452,230.8952,1.9168,1383.3917,11.4845
11,603489,八方股份,36.22,27.17,41.9613,239.1512,2.6572,879.9625,9.7773
12,603195,公牛集团,35.05,23.27,41.7055,1752.6339,3.2456,7531.5274,13.9472
13,600319,*ST亚星,34.79,1.38,12.4991,19.5401,0.0619,1406.5622,4.4568
14,300122,智飞生物,34.27,22.99,41.9409,1762.9405,1.1018,7666.1708,4.7913
15,300417,南华仪器,34.03,36.87,64.5332,153.0076,1.875,414.9201,5.0848
16,001202,炬申股份,33.79,10.48,16.6562,61.3704,0.8453,585.5442,8.0653
17,600052,浙江广厦,33.55,1488.76,62.6845,1202.5425,1.3793,80.7744,0.0926
18,000672,上峰水泥,33.49,33.64,51.0718,1540.6004,1.8935,4579.0331,5.6279
19,600779,水井坊,33.11,24.11,82.5018,639.1971,1.3083,2650.524,5.4253
20,688215,瑞晟智能,32.57,20.16,42.6134,35.5436,,176.2374,
21,688330,宏力达,30.89,34.37,57.9373,179.7173,,522.8253,
22,002841,视源股份,30.21,10.87,27.9056,1413.5299,2.1558,13001.2159,19.8291
23,603160,汇顶科技,29.93,36.6,61.3678,1712.3102,3.7551,4678.2208,10.2594
24,000933,神火股份,29.58,18.81,16.5953,2523.3619,1.3277,13414.5485,7.0584
25,002299,圣农发展,29.5,26.23,32.7046,2705.4333,2.1827,10311.1582,8.3189
26,688358,祥生医疗,29.48,25.75,61.1577,61.0936,1.0182,237.2531,3.9542
27,300816,艾可蓝,29.0,19.46,36.9613,80.0794,1.3346,411.494,6.8582
28,600678,四川金顶,27.87,12.45,28.5383,28.9137,0.0828,232.0616,0.6649
29,002869,金溢科技,27.84,30.99,49.4054,387.8785,3.2184,1251.3781,10.3833
30,002968,新大正,26.59,10.31,20.8311,77.6679,,752.8183,
31,601918,新集能源,26.36,27.02,41.8204,1936.335,0.7474,7166.1616,2.7662
32,688069,德林海,26.06,36.3,53.0009,75.3064,,207.4393,
33,300815,玉禾田,25.96,9.09,21.7302,239.2294,2.3047,2630.9502,25.3463
34,000895,双汇发展,25.95,9.39,19.4763,3943.102,1.1879,41968.479,12.6438
35,002975,博杰股份,25.68,20.2,49.1746,132.7505,2.5479,657.1263,12.6127
36,000868,安凯客车,25.62,5.24,15.6089,134.9891,0.184,2575.7131,3.5123
37,688298,东方生物,25.52,22.25,47.0054,58.3529,,262.234,
38,603288,海天味业,25.45,25.87,44.5105,3835.1359,1.4202,14824.4491,5.4897
39,300800,力合科技,25.45,32.91,53.4081,176.5936,,536.5072,
40,002755,奥赛康,25.27,16.57,92.7779,586.172,0.6315,3535.7088,3.8093
41,600732,爱旭股份,25.03,11.89,21.5318,497.9736,0.2721,4185.9551,2.2875
42,002190,成飞集成,24.74,43.94,13.0012,598.1236,1.6673,1361.0543,3.794
43,002016,世荣兆业,24.66,34.59,69.2699,749.236,0.926,2165.4917,2.6764
44,002963,豪尔赛,24.65,21.72,39.3535,204.1173,1.81,939.4545,8.3307
45,300894,火星人,24.55,17.13,,142.8975,,833.9692,
46,688199,久日新材,24.55,21.88,39.969,231.4358,,1057.6478,
47,600801,华新水泥,24.4,21.55,41.2463,4843.8926,2.3103,22472.0061,10.7183
48,603360,百傲化学,24.37,38.92,59.3761,234.1709,1.2544,601.5893,3.2226
49,600519,贵州茅台,24.31,49.97,91.4894,30454.8554,24.2436,60934.6581,48.5072
50,688357,建龙微纳,24.18,22.3,39.2126,68.7425,1.8639,308.2359,8.3578
51,603610,麒盛科技,24.12,13.96,38.5095,271.6837,2.4096,1944.8599,17.2493
52,002555,三七互娱,23.85,16.27,86.4344,1555.8363,0.7365,9559.8822,4.5259
53,300628,亿联网络,23.84,52.96,65.6907,982.8556,1.6406,1855.8298,3.0978
54,300198,纳川股份,23.81,63.83,21.6326,363.4455,0.3523,569.3613,0.5519
55,300702,天宇股份,23.53,28.07,54.378,444.333,2.4381,1582.8295,8.6854
56,600809,山西汾酒,23.38,18.58,69.189,1695.9051,1.9458,9126.5303,10.4718
57,603658,安图生物,23.17,28.4,66.6387,537.9075,1.2807,1893.6263,4.5086
58,600887,伊利股份,23.12,8.21,37.6877,5630.692,0.9234,68517.1769,11.2376
59,600763,通策医疗,23.09,28.13,47.9297,399.6689,1.2464,1420.7251,4.4309
