,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,002188,*ST巴士,4133.01,2424.68,9.811,515.8283,1.7448,21.274,0.0719
1,600289,ST信通,207.47,205.05,61.6052,1505.0388,2.3849,733.9559,1.163
2,600961,株冶集团,138.28,0.69,4.129,77.4398,0.1468,11191.9658,21.2186
3,688728,格科微,134.98,9.73,26.045,359.3712,,3690.1836,
4,002684,*ST猛狮,126.11,10.4,23.2961,136.2258,0.24,1309.0724,2.3072
5,000995,皇台酒业,112.45,68.87,74.9966,68.2137,,99.0463,
6,002260,*ST德奥,106.43,6.1,21.8785,28.5341,0.1075,467.7699,1.7638
7,000504,南华生物,102.13,14.01,62.9681,18.8064,0.0603,134.1605,0.4305
8,000422,湖北宜化,98.44,1.12,14.2269,164.3939,,14660.0249,
9,002175,*ST东网,89.68,66.3,24.4555,153.1149,0.2031,230.9201,0.3063
10,002207,准油股份,72.09,17.17,15.6496,51.887,0.2169,302.0761,1.2629
11,300989,蕾奥规划,64.97,16.9,47.6955,66.9796,1.4884,396.285,8.8063
12,002458,益生股份,60.43,60.72,65.3717,2176.0391,3.771,3583.5341,6.2101
13,002234,民和股份,58.82,49.14,59.6764,1609.9738,5.3302,3276.052,10.8461
14,600610,中毅达,58.55,13.03,23.0101,25.984,,199.39,
15,300864,南大环境,56.84,25.95,44.9323,109.887,,423.4549,
16,002629,ST仁智,55.86,31.97,20.4569,30.9602,0.0751,96.8368,0.235
17,300983,尤安设计,55.64,31.03,48.8179,265.1285,4.4188,854.3023,14.2383
18,300957,贝泰妮,54.46,21.19,80.2179,411.9452,1.1442,1943.7455,5.3992
19,301051,信濠光电,53.22,19.67,42.0149,326.5005,,1659.441,
20,300552,万集科技,52.97,26.0,45.8538,871.5468,7.9276,3351.2077,30.4828
21,688169,石头科技,52.73,18.61,36.1224,782.8587,15.6571,4204.902,84.098
22,002607,中公教育,52.58,19.66,58.451,1804.5487,0.2925,9176.13,1.4878
23,003021,兆威机电,52.54,20.02,32.5008,357.0641,4.4633,1782.8362,22.2854
24,300985,致远新能,52.39,15.14,35.6064,120.7725,,797.4467,
25,300116,保力新,52.24,54.19,12.1148,294.723,0.1211,543.8151,0.2235
26,300977,深圳瑞捷,52.23,27.96,52.0271,138.8628,,496.4766,
