,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600083,*ST博信,84.28,25.88,7.0378,32.1465,0.1397,124.1755,0.5398
1,600319,*ST亚星,25.79,2.44,12.3502,12.7191,0.0403,521.0562,1.651
2,002234,民和股份,25.61,52.74,58.7475,385.7934,1.2772,731.4864,2.4217
3,002458,益生股份,19.96,58.62,61.9964,381.9419,1.132,651.4869,1.931
4,300776,帝尔激光,18.97,45.25,54.8513,74.8605,1.5096,165.4311,3.336
5,688016,心脉医疗,18.71,48.48,,44.6649,,92.1156,
6,300783,三只松鼠,18.31,8.69,33.1575,249.293,0.6924,2867.6723,7.9657
7,603508,思维列控,16.28,174.81,65.3101,696.6521,3.5773,398.5091,2.0463
8,002893,华通热力,15.59,20.01,30.834,112.7157,0.9165,563.107,4.5788
9,600368,五洲交通,15.53,127.39,54.0409,656.8736,0.5835,515.6194,0.458
10,000720,新能泰山,14.73,28.67,43.7262,374.3646,0.2902,1305.7007,1.0124
11,600587,新华医疗,14.53,27.72,21.8383,561.9953,1.3827,2026.7327,4.9866
12,300461,田中精机,12.72,13.13,44.1966,35.9375,0.2884,273.6217,2.196
13,300221,银禧科技,12.58,45.75,12.5632,192.1901,0.3809,420.0297,0.8324
14,600626,申达股份,12.55,12.52,9.1829,466.1629,0.5469,3721.6502,4.3666
15,601888,中国中免,12.46,16.84,49.4493,2305.7581,1.1809,13691.599,7.0124
16,600310,桂东电力,12.37,8.09,5.1791,269.2152,0.3252,3327.3623,4.0196
17,600809,山西汾酒,12.35,21.62,71.9442,877.4102,1.0133,4057.6086,4.6862
18,300508,维宏股份,12.0,132.19,62.4652,64.1424,0.7055,48.5225,0.5337
19,600167,联美控股,11.36,55.41,61.76,779.9054,0.4431,1407.2869,0.7995
20,300152,科融环境,11.11,113.38,19.6073,87.8136,0.1231,77.447,0.1086
21,600570,恒生电子,11.06,67.18,96.7894,397.845,0.6439,592.1863,0.9585
22,600793,宜宾纸业,11.03,16.49,1.2601,39.7131,0.3771,240.7023,2.2858
23,002959,小熊电器,10.87,8.9,34.2924,56.114,0.6234,630.3968,7.0044
24,300771,智莱科技,10.84,25.19,43.2199,76.6277,1.0217,304.1586,4.0554
25,000517,荣安地产,10.78,31.42,42.2137,586.238,0.1841,1865.8048,0.586
26,300122,智飞生物,10.72,21.89,39.876,502.0661,0.3137,2293.537,1.4334
27,002304,洋河股份,10.62,36.92,72.2906,4020.765,2.668,10889.6336,7.226
28,600779,水井坊,10.53,23.5,82.5836,218.559,0.4473,929.7857,1.9031
29,600647,同达创业,10.53,3197.39,67.137,31.6559,0.2275,0.9901,0.0071
30,000848,承德露露,10.35,23.85,53.3846,222.1093,0.2269,930.893,0.9512
31,688388,嘉元科技,10.28,24.07,36.3039,80.62,0.4658,334.9212,1.9351
32,688222,成都先导,10.2,87.52,79.1485,44.4233,,50.753,
33,688199,久日新材,10.16,22.96,42.2722,94.3275,1.1307,410.7488,4.9238
34,300571,平治信息,10.0,35.68,62.6198,58.2897,0.4842,163.357,1.3571
35,600507,方大特钢,9.84,11.94,26.0663,470.3621,0.3244,3936.179,2.7148
36,000048,京基智农,9.83,15.4,41.304,110.8831,0.2837,719.9302,1.8423
37,300856,科思股份,9.76,14.58,,44.6856,0.5405,306.4394,3.7072
38,603327,福蓉科技,9.73,23.45,38.5092,67.6152,0.1931,288.2724,0.8236
39,000999,华润三九,9.72,33.5,62.8473,1166.8439,1.1919,3482.2726,3.5573
40,603288,海天味业,9.62,26.9,45.7772,1477.1382,0.547,5490.1453,2.0331
41,603369,今世缘,9.52,32.82,74.6488,641.3952,0.5112,1953.9899,1.5575
42,002803,吉宏股份,9.52,10.84,41.8608,72.8143,0.3692,671.4794,3.405
43,600053,九鼎投资,9.42,74.71,100.0,222.517,0.5132,297.8146,0.6869
44,000672,上峰水泥,9.41,31.49,47.4688,358.9405,0.4411,1139.8552,1.4009
45,300770,新媒股份,9.35,39.45,56.3889,73.4457,0.7629,186.1573,1.9337
46,000596,古井贡酒,9.34,21.35,78.2133,783.3899,1.5555,3668.5025,7.2845
47,000850,华茂股份,9.3,66.14,9.4946,423.4047,0.4486,640.1379,0.6783
48,688029,南微医学,9.28,22.27,,63.9386,0.7104,286.9896,3.1887
49,300146,汤臣倍健,9.28,31.66,67.2239,497.464,0.3386,1571.071,1.0696
50,002755,奥赛康,9.25,16.88,92.9654,188.0233,0.2025,1113.5356,1.1997
51,000858,五粮液,9.25,36.81,75.7827,6475.1133,1.6681,17590.2532,4.5316
52,000046,泛海控股,9.2,299.31,38.0062,2084.7937,0.4012,696.5231,0.134
53,688036,传音控股,9.1,7.61,,373.4324,,4903.2108,
54,600519,贵州茅台,9.04,51.84,92.1113,11221.4313,8.9328,21644.0027,17.2297
55,600719,大连热电,9.04,15.98,35.0269,72.4544,0.179,453.3519,1.1204
56,603160,汇顶科技,9.02,33.81,61.4307,414.2144,0.907,1224.7851,2.682
57,000895,双汇发展,8.96,10.69,20.9984,1279.2851,0.3877,11960.3006,3.6248
58,600287,江苏舜天,8.83,15.3,9.2316,195.1501,0.4467,1275.4453,2.92
59,600695,*ST绿庭,8.83,609.08,82.907,64.87,0.0912,10.6505,0.0149
60,600675,中华企业,8.69,19.34,58.3311,1310.1749,0.2579,6772.6352,1.3331
61,600887,伊利股份,8.64,9.86,39.9481,2275.7677,0.3744,23077.3736,3.7967
62,600398,海澜之家,8.61,19.86,43.5879,1209.6233,0.2692,6088.6794,1.3552
63,600566,济川药业,8.54,24.53,85.5521,510.1761,0.626,2079.4214,2.5517
64,000629,攀钢钒钛,8.53,18.54,25.0245,753.3778,0.0877,4062.5787,0.4729
65,002164,宁波东力,8.51,25.05,28.9004,53.6237,0.0766,214.0395,0.306
66,300003,乐普医疗,8.51,31.02,73.7546,582.7782,0.327,1878.1348,1.0541
67,688018,乐鑫科技,8.42,19.22,,28.3437,,147.4673,
68,002956,西麦食品,8.4,17.92,60.0795,47.9627,0.7993,267.5116,4.4585
69,600726,华电能源,8.39,4.88,14.027,144.665,0.0735,2958.7153,1.5044
70,000963,华东医药,8.39,9.34,34.8488,907.2446,0.6221,9705.1482,6.6556
71,600031,三一重工,8.31,15.12,30.7152,3221.072,0.3845,21294.618,2.5424
72,300353,东土科技,8.26,153.31,39.2827,204.1562,0.3949,133.1652,0.2576
73,600995,文山电力,8.18,31.03,40.1326,173.8756,0.3633,560.2487,1.1707
74,000568,泸州老窖,8.16,36.32,79.153,1514.5605,1.034,4169.2276,2.8463
75,603589,口子窖,8.11,40.0,77.8321,544.85,0.908,1361.9765,2.2699
76,300702,天宇股份,8.11,25.71,48.5828,128.1641,0.7032,498.4378,2.735
77,300782,卓胜微,8.09,23.04,52.7799,41.7728,0.5569,181.2707,2.4169
78,603983,丸美股份,8.03,32.95,66.3951,120.2106,0.3339,364.7914,1.0133
79,300778,新城市,8.02,22.42,43.955,28.7032,0.4783,127.9859,2.133
80,603638,艾迪精密,8.01,24.44,43.1545,89.0819,0.3419,364.3656,1.3988
81,002032,苏泊尔,8.0,9.4,31.2775,514.9459,0.627,5473.5771,6.6649
82,002451,摩恩电气,7.98,72.67,16.2289,57.3175,0.1305,78.8698,0.1795
83,300511,雪榕生物,7.98,25.39,32.2277,136.2104,0.3143,536.3013,1.2377
84,000710,贝瑞基因,7.94,50.37,59.2621,167.6854,0.4728,332.8845,0.9387
85,600127,金健米业,7.94,6.67,11.4293,60.5425,0.0943,907.5175,1.414
86,600729,重庆百货,7.83,4.71,18.2271,472.7673,1.1629,10019.692,24.6469
87,300638,广和通,7.82,9.26,26.2724,38.4464,0.3172,415.1259,3.4254
88,002299,圣农发展,7.81,21.16,28.692,652.7859,0.5266,3084.4087,2.4884
89,002489,浙江永强,7.74,13.91,29.2904,260.7315,0.1198,1874.2354,0.8614
90,603026,石大胜华,7.68,11.84,21.1049,134.7807,0.6649,1137.5979,5.6127
91,600681,百川能源,7.67,16.63,25.0447,326.4496,0.3164,1962.8718,1.9029
92,002399,海普瑞,7.66,49.55,35.8583,507.0334,0.4065,1023.1184,0.8203
93,300401,花园生物,7.64,54.57,75.5384,129.1831,0.2695,236.7074,0.4938
94,002832,比音勒芬,7.59,27.52,64.5329,129.8823,0.7162,471.7901,2.6017
95,601318,中国平安,7.59,12.03,16.74,45517.0,2.4899,378161.0,20.6868
96,600530,交大昂立,7.56,97.88,54.5903,76.7836,0.0984,78.4431,0.1005
97,600064,南京高科,7.56,266.58,43.3595,848.0762,0.6861,318.1276,0.2573
98,603198,迎驾贡酒,7.53,30.45,67.1569,353.3993,0.4417,1160.382,1.4504
99,300630,普利制药,7.35,44.6,85.4014,70.0149,0.3822,156.9593,0.8568
100,600436,片仔癀,7.33,27.24,46.0465,404.3682,0.6702,1484.2893,2.4602
101,002016,世荣兆业,7.23,35.45,65.4254,210.0463,0.2596,592.3641,0.7321
102,600119,长江投资,7.23,6.9,16.0975,10.7764,0.035,156.1214,0.5078
103,000031,大悦城,7.15,14.22,54.5939,1197.1718,0.3049,8418.9248,2.1444
104,603610,麒盛科技,7.14,12.71,40.3523,65.3544,0.5796,514.1058,4.5597
105,601628,中国人寿,7.14,8.33,10.6772,26034.0,0.921,312226.0,11.0464
106,600802,福建水泥,7.12,12.47,28.5841,72.0595,0.1886,577.4107,1.512
107,000936,华西股份,7.09,49.22,8.9498,352.343,0.3976,715.7441,0.8078
108,002555,三七互娱,7.08,13.99,87.6589,454.3803,0.2138,3246.9555,1.528
109,601918,新集能源,7.07,17.82,40.2746,407.5285,0.1573,2286.2182,0.8825
110,300529,健帆生物,7.07,43.9,85.3213,129.5843,0.3105,295.1697,0.7073
111,300132,青松股份,7.06,24.57,38.7635,81.4587,0.211,331.4685,0.8589
112,603899,晨光文具,7.05,10.98,27.0696,258.7151,0.2812,2355.6138,2.5604
113,603267,鸿远电子,7.04,36.02,62.75,84.696,0.683,235.1119,1.896
114,603568,伟明环保,7.0,48.41,62.6498,232.0718,0.3374,479.3495,0.697
115,300628,亿联网络,6.99,48.96,65.3417,260.9801,0.8712,533.0468,1.7795
116,600132,重庆啤酒,6.96,10.28,37.3992,85.6811,0.177,833.342,1.7218
117,000919,金陵药业,6.94,34.29,22.6927,210.306,0.4172,613.3061,1.2168
118,600989,宝丰能源,6.93,31.94,45.2606,1020.4221,0.1759,3194.1538,0.5507
119,300413,芒果超媒,6.89,16.81,44.1677,417.9329,0.4221,2485.083,2.5101
120,000333,美的集团,6.83,8.14,28.3594,6129.026,0.9292,75205.78,11.4021
121,300686,智动力,6.82,11.02,17.9637,45.4542,0.2197,412.1747,1.9926
122,603444,吉比特,6.82,42.2,90.0886,213.4429,2.9693,505.7451,7.0357
123,600309,万华化学,6.82,17.52,30.5162,2795.8048,0.8904,15952.0068,5.0806
124,603103,横店影视,6.76,18.19,28.4382,158.9291,0.3508,873.5335,1.9283
125,300577,开润股份,6.72,7.59,24.7809,45.449,0.2088,598.6957,2.7511
126,600763,通策医疗,6.71,24.03,46.6701,94.7051,0.2953,394.0967,1.229
127,600070,浙江富润,6.7,23.79,17.526,172.8592,0.3311,726.412,1.3917
128,601100,恒立液压,6.7,20.8,34.7832,326.3051,0.3699,1568.5087,1.7783
129,600512,腾达建设,6.63,39.04,9.8019,300.0847,0.1876,768.4934,0.4806
130,603156,养元饮品,6.62,34.08,51.689,850.4737,1.129,2494.8185,3.3119
131,000661,长春高新,6.6,20.56,81.8379,365.0743,2.146,1775.0515,10.4345
132,600486,扬农化工,6.59,20.85,35.7465,327.3902,1.0564,1570.1445,5.0666
133,603390,通达电气,6.55,24.53,36.3894,53.4658,0.2027,217.8816,0.826
134,300567,精测电子,6.53,17.91,43.6914,80.8699,0.4942,451.3426,2.7585
135,600592,龙溪股份,6.43,49.75,29.1902,126.2797,0.316,253.826,0.6352
136,000906,浙商中拓,6.42,1.42,2.6331,192.1523,0.2844,13496.0731,19.9783
137,600673,东阳光,6.42,11.59,50.674,454.0609,0.1506,3914.8291,1.2989
138,600340,华夏幸福,6.41,28.79,65.2912,2963.8535,0.987,10292.1543,3.4277
139,300107,建新股份,6.41,36.95,55.4458,108.5759,0.198,293.8157,0.536
140,300418,昆仑万维,6.39,44.05,80.0651,379.1252,0.3291,860.6485,0.7471
141,603429,集友股份,6.34,27.37,47.8145,41.9907,0.2205,153.3959,0.8056
142,000863,三湘印象,6.34,29.19,35.6135,381.1056,0.2779,1305.254,0.9518
143,300531,优博讯,6.31,15.03,29.178,47.7629,0.1705,317.6358,1.1344
144,688200,华峰测控,6.29,38.86,82.5454,23.2353,,59.7805,
145,688398,赛特新材,6.28,18.68,42.8108,17.3786,,93.0284,
146,002833,弘亚数控,6.25,25.62,36.2975,76.3914,0.5646,298.1583,2.2039
147,688006,杭可科技,6.23,24.27,,60.638,0.1684,249.8308,0.6939
148,300760,迈瑞医疗,6.22,25.74,65.8004,1005.7015,0.8272,3905.9261,3.2129
149,002215,诺普信,6.2,12.47,31.9154,137.2872,0.1501,1100.0614,1.2034
