,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600137,浪莎股份,2586.62,6301.28,-3.3943,286.9358,4.7262,4.5536,0.075
1,600187,国中水务,197.16,8652871.62,100.0,443.7193,1.356,0.0051,0.0
2,000545,金浦钛业,81.48,34.78,50.0005,9.3986,0.0593,27.0157,0.1707
3,600629,华建集团,77.6,24.88,34.3371,7.0884,0.0468,28.4832,0.1881
4,600608,ST沪科,49.32,96.33,10.8567,102.922,0.4075,106.8345,0.423
5,000560,我爱我家,46.76,3.78,20.0831,9.1485,0.068,241.7832,1.7989
6,600766,*ST园城,28.84,599.11,44.1065,51.2308,0.2993,8.5511,0.0499
7,600610,中毅达,26.86,38.47,7.7529,19.89,0.0557,51.6983,0.1447
8,002128,露天煤业,21.06,34.53,52.7961,233.3434,0.4049,675.6361,1.1726
9,600193,创兴资源,20.99,2447.36,-49.4005,48.9473,0.2917,2.0,0.0119
10,000620,新华联,20.0,,,0.4611,0.0014,,
11,000166,申万宏源,19.63,42.25,,742.5471,0.1105,1757.1787,0.2616
12,600739,辽宁成大,19.47,47.81,16.8293,412.5898,0.8277,862.879,1.7311
13,000623,吉林敖东,15.87,188.15,54.2429,383.9216,1.3392,204.05,0.7117
14,600497,驰宏锌锗,14.67,22.95,35.7493,299.4316,1.5355,1304.6319,6.6904
15,000548,湖南投资,14.15,55.45,94.1913,171.0698,0.3426,308.4982,0.6179
16,002736,国信证券,14.02,36.82,,578.24,0.2891,1570.21,0.7851
17,000612,焦作万方,13.91,16.17,26.1967,169.5109,0.353,1048.2841,2.1831
18,600595,*ST中孚,13.78,11.63,20.8731,164.2249,0.7183,1411.4286,6.1734
19,002242,九阳股份,13.18,18.54,35.752,60.8371,0.3041,328.1384,1.6406
20,600109,国金证券,13.13,664.51,97.6198,97.5232,0.6868,14.676,0.1033
21,600864,哈投股份,12.76,159.18,27.0799,279.9084,2.0491,175.8369,1.2872
22,600958,东方证券,12.06,44.62,,377.6208,0.1764,846.2869,0.3954
23,600031,三一重工,11.98,19.56,36.3769,366.3365,0.7632,1872.4226,3.9008
