,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,002164,宁波东力,198.33,215.23,30.7242,1120.6513,1.9844,520.6584,0.9219
1,002069,獐子岛,95.08,3.93,17.3403,39.9748,0.0562,1016.3683,1.4292
2,002188,*ST巴士,79.61,161.8,88.0692,2.4184,0.0082,1.4947,0.0051
3,688767,博拓生物,75.49,61.3,81.8983,302.4926,,493.4534,
4,688289,圣湘生物,68.84,58.65,83.099,1231.7882,,2100.0112,
5,301047,义翘神州,68.62,67.58,,334.6739,,495.1683,
6,600961,株冶集团,66.91,1.29,4.5058,94.0189,0.1782,7279.8371,13.8017
7,300981,中红医疗,54.1,40.78,52.878,463.0666,3.7045,1135.5219,9.0841
8,300677,英科医疗,52.19,43.17,61.0436,1921.3014,8.7255,4449.7953,20.2086
9,688606,奥泰生物,51.78,64.63,,314.8635,,487.1082,
10,002260,*ST德奥,47.05,18.59,17.4679,23.0663,0.0869,124.0129,0.4676
11,688317,之江生物,45.13,52.26,79.9866,427.8153,2.9296,818.6066,5.6058
12,603301,振德医疗,42.77,25.87,45.8465,988.5686,4.971,3819.8409,19.2082
13,300418,昆仑万维,42.46,213.27,81.7271,3674.9397,3.134,1723.0611,1.4694
14,002605,姚记科技,40.23,78.57,66.1676,800.467,2.0013,1018.7298,2.547
15,688298,东方生物,40.23,63.26,82.7735,523.9468,4.3662,828.15,6.9012
16,002582,好想你,40.18,90.71,25.089,2256.1997,4.3751,2487.0813,4.8228
17,300869,康泰医学,38.39,48.42,,363.7371,1.0081,751.0896,2.0817
18,001201,东瑞股份,38.26,53.44,63.7829,322.8463,3.3983,604.1142,6.359
19,605009,豪悦护理,36.94,27.1,41.81,375.6187,4.6952,1385.619,17.3202
20,300985,致远新能,36.33,18.64,,131.5189,,705.2819,
21,002838,道恩股份,36.04,25.72,38.5081,585.369,1.4381,2275.1131,5.5895
22,000911,南宁糖业,35.93,1.74,15.2742,40.1682,0.1239,2300.9191,7.0998
23,002124,天邦股份,34.73,33.29,44.8672,1534.8818,1.3235,4610.43,3.9757
24,688536,思瑞浦,34.47,40.43,64.9022,122.0758,2.0345,301.9179,5.0319
25,605296,神农集团,34.0,47.92,54.5643,629.5908,,1313.7716,
26,002714,牧原股份,32.36,51.27,62.3968,10784.0328,2.8774,21032.8546,5.612
27,002437,誉衡药业,31.93,47.61,71.0943,669.0097,0.3043,1405.0362,0.6391
28,300246,宝莱特,31.63,30.89,55.0416,240.0178,1.6429,776.8569,5.3177
29,600804,鹏博士,30.38,11.4,45.1589,325.1893,0.227,2850.8297,1.9902
30,000526,学大教育,30.18,3.38,29.0406,43.8655,0.456,1296.3993,13.4767
31,002030,达安基因,29.93,36.5,67.4122,778.4927,0.8875,2132.6349,2.4313
32,300676,华大基因,29.58,40.2,65.3423,1651.4625,4.1276,4107.7833,10.2668
33,300111,向日葵,29.54,13.72,32.2221,21.0887,0.0188,153.6828,0.1372
34,688628,优利德,29.47,21.68,,112.0855,,516.8358,
35,688511,天微电子,29.28,44.93,68.1818,56.6633,,126.0987,
36,300206,理邦仪器,28.39,37.0,60.2205,472.7966,0.8127,1277.5498,2.1961
37,002950,奥美医疗,28.25,31.55,43.8829,711.6458,1.1237,2255.5253,3.5617
38,000017,深中华A,28.21,6.55,15.3684,2.7976,0.005,42.6564,0.0773
39,300864,南大环境,27.78,29.3,,62.481,,213.2346,
40,300658,延江股份,27.59,32.08,52.2251,304.3485,2.0065,948.6818,6.2547
41,300844,山水比德,27.27,21.42,55.2563,46.6002,,217.4734,
42,002681,奋达科技,26.46,53.38,21.6466,797.2489,0.392,1493.3987,0.7344
43,605117,德业股份,26.11,11.88,22.969,171.2885,1.3381,1441.4601,11.2614
44,605499,东鹏饮料,25.7,17.87,46.4398,441.3071,,2469.4627,
45,300888,稳健医疗,25.21,24.69,,1032.2187,,4179.7789,
46,000953,河化股份,25.14,23.98,41.1162,45.5729,0.1244,190.0239,0.519
47,600132,重庆啤酒,24.95,14.04,41.1981,246.0332,0.5083,1751.2027,3.6184
48,002932,明德生物,24.92,55.51,83.7464,200.1695,3.0062,360.563,5.415
49,688399,硕世生物,24.79,53.73,84.0646,307.6302,5.2478,572.5379,9.7669
50,301009,可靠股份,24.74,16.43,32.5114,131.3327,,799.2721,
51,300461,田中精机,24.29,9.96,43.143,17.1225,0.1407,171.8915,1.413
52,002247,聚力文化,24.17,36.45,26.0043,140.8067,0.1654,386.2827,0.4539
53,002980,华盛昌,23.94,44.62,62.1748,266.9237,2.0019,598.1314,4.4859
54,600685,中船防务,23.14,72.27,5.4025,3102.8376,2.1951,4293.1812,3.0372
55,603988,中电电机,23.05,54.14,27.3528,190.4434,0.8097,351.7176,1.4953
56,605077,华康股份,22.68,26.23,34.9439,185.5148,,707.1555,
57,600836,上海易连,22.34,13.85,10.7143,222.0741,0.335,1602.8144,2.4184
58,688625,呈和科技,21.97,25.41,,53.9387,0.5393,212.2721,2.1227
59,688390,固德威,21.96,20.08,,118.0614,1.7888,587.9433,8.9082
60,688667,菱电电控,21.9,20.91,34.4974,67.0522,,320.5589,
61,300989,蕾奥规划,21.84,15.47,47.3504,26.815,0.5958,173.2821,3.8507
62,300877,金春股份,21.79,24.88,,138.7029,1.5411,557.3243,6.1924
63,688063,派能科技,21.73,26.37,,123.4531,,468.1397,
64,300983,尤安设计,21.66,28.25,49.5063,115.1934,1.9198,407.6521,6.7942
65,002214,大立科技,21.56,43.88,60.3604,292.3202,0.6373,666.1117,1.4522
66,688580,伟思医疗,21.19,34.15,73.9608,53.6351,1.0463,157.0265,3.0633
67,002255,海陆重工,21.12,66.1,28.7768,557.8394,0.6623,843.9033,1.0019
68,301003,江苏博云,20.98,25.03,38.0542,44.6281,,178.2539,
69,000955,欣龙控股,20.88,20.58,51.0377,162.0191,0.3009,787.1364,1.462
70,002555,三七互娱,20.75,21.27,89.1889,1699.7361,0.8047,7988.6752,3.782
71,300122,智飞生物,20.74,21.51,38.472,1504.5484,0.9403,6993.7232,4.371
72,601975,招商南油,20.6,52.9,39.4513,1167.1753,0.2361,2206.3696,0.4464
73,688301,奕瑞科技,20.41,28.44,51.5775,109.5303,2.0153,385.0049,7.084
74,688269,凯立新材,20.3,11.23,18.506,58.3446,0.8334,519.2349,7.4176
75,601686,友发集团,20.27,4.13,6.9666,867.6293,0.6834,21007.3,16.5469
76,603882,金域医学,20.16,15.99,44.7743,555.8937,1.214,3474.6614,7.5885
77,301000,肇民科技,20.12,20.75,36.4654,41.4644,,199.7516,
78,688330,宏力达,20.0,40.03,,160.2515,,400.3173,
79,002157,正邦科技,19.89,14.6,26.8519,2417.217,0.9656,16550.5671,6.6115
80,300607,拓斯达,19.74,26.65,54.7806,400.4574,1.506,1502.3486,5.6501
81,300957,贝泰妮,19.65,17.03,81.9584,160.3446,,941.5382,
82,301067,显盈科技,19.59,13.46,29.1307,29.304,0.7233,217.637,5.3724
83,605389,长龄液压,19.49,28.88,40.7771,116.1361,1.5909,402.0984,5.5081
84,000737,南风化工,19.48,17.38,20.4456,93.8336,0.1709,539.8923,0.9838
85,600809,山西汾酒,19.37,23.25,71.7042,1604.8537,1.8414,6899.7991,7.9168
86,300347,泰格医药,19.26,68.78,48.4558,998.8063,1.3327,1451.9944,1.9373
87,000895,双汇发展,19.24,8.36,16.9626,3040.9332,0.9161,36347.5576,10.9504
88,603288,海天味业,19.22,28.05,42.9371,3252.695,1.0037,11594.6297,3.578
89,600143,金发科技,18.99,14.24,29.5848,2411.7179,0.937,16930.0727,6.5783
90,001202,炬申股份,18.69,7.91,14.2695,37.3098,0.3863,471.3903,4.8819
91,300529,健帆生物,18.66,50.66,85.6001,440.6295,0.5514,869.6753,1.0883
92,688677,海泰新光,18.55,37.1,64.7439,50.1495,0.7691,135.1732,2.0732
93,600678,四川金顶,18.55,23.13,44.2176,26.9765,0.0772,116.5817,0.334
94,000691,亚太实业,18.54,26.41,21.9625,17.1283,0.0529,64.8488,0.2006
95,001210,金房节能,18.47,20.37,26.2079,89.923,,441.4143,
96,002768,国恩股份,18.46,15.09,24.8236,533.8334,1.968,3536.5861,13.0381
97,003011,海象新材,18.31,16.34,31.2376,93.7928,1.7053,573.9753,10.4359
98,002113,ST天润,18.28,11.8,27.582,33.3781,0.0217,282.859,0.1845
99,300896,爱美客,18.26,60.88,,147.2929,,241.9003,
100,301077,星华反光,18.09,14.96,28.8646,37.7465,0.8388,252.2717,5.606
101,605369,拱东医疗,18.08,26.54,48.2676,89.5388,1.4923,337.339,5.6223
102,300552,万集科技,18.06,42.9,55.5827,326.8419,1.6516,761.8387,3.8498
103,300782,卓胜微,18.01,35.38,52.6411,353.0161,1.9612,997.6932,5.5427
104,300390,天华超净,17.96,24.62,48.6743,187.6569,0.3404,761.9442,1.3821
105,002869,金溢科技,17.74,45.58,62.7776,363.0171,3.0121,796.3561,6.6077
106,001206,依依股份,17.67,18.94,28.9179,111.1983,1.8214,587.0432,9.6157
107,000987,越秀金控,17.64,356.9,3.1173,4037.6715,1.4667,1131.3165,0.4109
108,000672,上峰水泥,17.62,35.08,48.0428,1008.5316,1.2395,2874.2208,3.5326
109,600610,中毅达,17.34,1.91,17.1154,9.3621,0.0087,489.1419,0.4565
110,300482,万孚生物,17.32,27.94,70.5091,448.998,,1606.6336,
111,605099,共创草坪,17.24,22.42,35.9615,180.1843,0.9009,803.5711,4.0178
112,300994,久祺股份,17.24,7.39,19.1628,60.176,,813.825,
113,002216,三全食品,17.17,12.12,38.1799,452.3758,0.5659,3729.6545,4.6663
114,300760,迈瑞医疗,17.09,32.69,65.9625,3453.6281,2.8408,10564.367,8.69
115,600031,三一重工,16.97,17.21,30.3439,8467.738,1.0006,49187.513,5.8127
116,300921,南凌科技,16.93,16.96,39.0506,41.0472,,241.9606,
117,688109,品茗股份,16.69,24.76,,36.4187,0.8931,147.0777,3.6071
118,688057,金达莱,16.69,39.67,65.4319,203.0382,0.9808,511.7951,2.4724
119,603444,吉比特,16.63,39.03,89.3648,550.0521,7.654,1409.1647,19.6086
120,300892,品渥食品,16.59,9.86,34.4933,67.2815,,682.1918,
121,002803,吉宏股份,16.56,13.46,54.6795,258.0601,0.6819,1916.6696,5.065
122,688183,生益电子,16.5,15.58,30.1137,296.986,,1906.157,
123,002223,鱼跃医疗,16.48,32.72,57.1727,1119.2978,1.1165,3420.7277,3.4122
124,600519,贵州茅台,16.47,51.42,91.4628,22601.6551,17.9921,43952.8047,34.9887
125,688698,伟创电气,16.47,19.3,,50.6173,,262.192,
126,300995,奇德新材,16.42,27.56,44.1901,54.6625,,198.3341,
127,601100,恒立液压,16.31,28.53,41.8543,986.1632,1.118,3455.8901,3.9182
128,002626,金达威,16.22,30.75,53.9502,494.7264,0.8024,1608.4438,2.609
129,300702,天宇股份,16.18,28.62,52.9528,381.2859,2.0924,1331.9981,7.3096
130,300911,亿田智能,16.11,21.13,,55.0992,,260.6888,
131,688095,福昕软件,15.89,27.41,96.1621,61.8591,1.7135,225.6279,6.25
132,002782,可立克,15.86,27.75,20.9064,145.066,0.3405,522.597,1.2267
133,301051,信濠光电,15.86,18.33,34.3445,104.1985,,568.361,
134,000568,泸州老窖,15.86,42.18,81.8372,3220.4522,2.1986,7634.4829,5.2121
135,605266,健之佳,15.82,5.27,32.4051,111.1832,2.797,2108.8279,53.0522
136,002100,天康生物,15.76,17.72,32.0796,833.7967,0.7765,4703.2792,4.3801
137,605580,恒盛能源,15.75,19.96,30.5587,46.6067,0.3107,233.4887,1.5565
138,605080,浙江自然,15.53,27.73,41.411,94.9246,,342.2417,
139,300979,华利集团,15.51,11.17,22.7292,774.7147,,6930.799,
140,300852,四会富仕,15.35,18.43,34.0518,60.851,1.4328,330.0698,7.7721
141,605507,国邦医药,15.34,20.95,35.0431,446.6247,,2131.5681,
142,300973,立高食品,15.32,11.34,40.7484,75.9978,,670.0753,
143,301016,雷尔伟,15.31,21.96,41.089,51.0871,,232.5456,
144,300815,玉禾田,15.28,16.91,31.1125,347.8161,2.5131,2056.6141,14.8599
145,002489,浙江永强,15.24,20.63,31.4895,607.7297,0.2793,2944.4724,1.3533
146,688798,艾为电子,15.2,9.61,36.829,48.8494,0.3933,508.1257,4.0911
147,688728,格科微,15.18,13.72,,335.1428,,2441.3513,
148,002973,侨银股份,15.17,12.85,28.2893,186.4078,0.4561,1450.623,3.5497
149,605388,均瑶健康,15.16,29.85,52.8062,149.0035,0.4138,499.1445,1.3865
150,300935,盈建科,15.13,45.15,,31.7254,0.7486,70.254,1.6579
151,003028,振邦智能,15.12,17.55,29.3846,54.2277,0.6597,308.9437,3.7584
152,003019,宸展光电,15.06,10.78,26.3174,73.5956,0.7666,682.6189,7.1106
153,002901,大博医疗,15.03,39.31,85.6397,264.4852,0.6574,672.7955,1.6725
154,003005,竞业达,15.01,27.56,53.1362,80.9453,1.0181,293.6078,3.6931
155,300917,特发服务,14.99,8.88,,44.8912,,505.2013,
156,300146,汤臣倍健,14.95,30.77,65.4853,961.8369,0.6077,3125.1737,1.9748
157,688639,华恒生物,14.94,25.06,45.9166,64.7952,0.7999,258.4635,3.1909
158,603606,东方电缆,14.84,17.2,29.5336,365.1541,0.5582,2122.3804,3.2447
159,600486,扬农化工,14.82,13.97,26.8373,826.8025,2.6679,5916.9456,19.0931
160,002847,盐津铺子,14.82,13.74,41.7822,129.9652,1.0035,945.3029,7.2996
161,688575,亚辉龙,14.79,23.49,62.4962,100.6959,,428.6674,
162,301002,崧盛股份,14.72,14.94,31.7163,40.1752,0.5667,268.7939,3.7917
163,002304,洋河股份,14.69,40.21,73.2167,5400.8643,3.5838,13428.5058,8.9108
164,605033,美邦股份,14.67,17.44,37.3666,63.7631,,365.4092,
165,603129,春风动力,14.64,9.76,33.0726,173.9815,1.2947,1782.1288,13.262
166,300856,科思股份,14.64,16.46,34.9643,93.5678,1.1052,568.354,6.7133
167,300870,欧陆通,14.63,9.6,,79.4736,,827.4634,
168,688819,天能股份,14.62,5.17,19.5389,763.014,0.8918,14740.2376,17.2299
169,300439,美康生物,14.61,20.19,35.2762,225.9764,0.6544,1119.056,3.2407
170,600887,伊利股份,14.6,7.88,38.1651,3735.2412,0.6157,47344.1333,7.8049
171,688665,四方光电,14.57,22.1,44.6203,23.3466,,105.5996,
172,688696,极米科技,14.5,8.5,30.7661,97.2996,,1143.6369,
173,605398,新炬网络,14.48,21.69,43.6431,51.9786,1.1648,239.6083,5.3695
174,605090,九丰能源,14.46,8.93,14.2851,339.486,,3799.748,
175,002993,奥海科技,14.33,11.51,22.1068,131.4516,,1141.1484,
176,300628,亿联网络,14.3,53.73,67.2689,645.3515,0.7177,1200.9748,1.3357
177,300982,苏文电能,14.29,15.17,27.6579,79.7576,,525.5306,
178,688595,芯海科技,14.28,28.33,,45.1708,0.6022,159.4002,2.1253
179,300972,万辰生物,14.28,23.45,30.5022,50.7378,0.4407,216.3005,1.8788
180,688345,博力威,14.28,9.62,24.1249,51.9285,,539.4628,
181,301069,凯盛新材,14.26,32.61,54.7101,105.8144,0.2934,324.391,0.8994
182,002072,*ST凯瑞,14.25,25.22,87.5201,3.9209,0.0222,15.5418,0.0883
183,000661,长春高新,14.25,33.44,85.0827,1309.8608,3.2364,3916.6388,9.6773
184,605003,众望布艺,14.21,29.2,48.3248,56.648,0.8583,193.9987,2.9393
185,000858,五粮液,14.17,35.28,74.5393,10855.392,2.7966,30767.526,7.9264
186,300964,本川智能,14.17,21.45,30.8107,48.7853,0.8415,227.3863,3.9222
187,605007,五洲特纸,14.17,14.42,25.817,166.6294,0.4628,1154.8352,3.2078
188,002959,小熊电器,14.12,14.79,36.4979,254.1303,1.629,1717.4292,11.0091
189,600346,恒力石化,14.08,8.19,19.4501,5516.86,0.7837,67357.9352,9.5691
190,688526,科前生物,14.04,51.5,82.2889,182.8965,0.508,355.1113,0.9864
191,301020,密封科技,14.01,21.58,44.0224,47.5258,0.4328,220.1998,2.0054
192,688026,洁特生物,13.97,40.97,60.6642,110.0907,1.1009,268.6601,2.6866
193,603985,恒润股份,13.91,16.92,30.5406,177.6977,0.8717,1049.9461,5.1508
194,003013,地铁设计,13.9,18.37,37.0551,170.1463,0.4726,926.2018,2.5727
195,688079,美迪凯,13.87,34.86,58.035,70.0129,,200.8145,
196,002264,新华都,13.84,5.92,25.7924,136.1801,0.1989,2298.1831,3.3571
197,300965,恒宇信通,13.79,51.35,74.7808,54.3191,,105.7735,
198,605337,李子园,13.78,19.15,36.4964,82.3396,0.7092,429.9282,3.703
199,300701,森霸传感,13.71,49.17,62.7595,82.1584,0.6846,167.0739,1.3922
200,003021,兆威机电,13.69,19.97,33.2241,109.9654,1.3745,550.3951,6.8799
201,301006,迈拓股份,13.64,40.09,60.1049,60.2481,,150.2593,
202,301005,超捷股份,13.64,21.27,37.2544,29.7237,,139.7363,
203,605068,明新旭腾,13.62,28.07,48.5455,96.8016,0.7775,344.8533,2.7699
204,688355,明志科技,13.6,21.67,40.5882,52.8738,,243.9686,
205,000421,南京公用,13.53,7.58,28.3825,402.3704,0.7026,5307.8028,9.2688
206,002443,金洲管道,13.53,17.01,16.8204,357.3876,0.6865,2100.1432,4.0345
207,600298,安琪酵母,13.52,16.55,40.549,718.9557,0.8724,4341.6327,5.2684
208,300003,乐普医疗,13.52,26.9,70.8587,1140.3466,0.64,4237.8392,2.3785
209,688686,奥普特,13.44,33.19,69.1015,79.786,,240.3516,
210,300850,新强联,13.43,18.49,33.5304,100.3159,1.2618,542.2755,6.821
211,300920,润阳科技,13.41,32.25,,59.9172,0.7988,185.7726,2.4769
212,002414,高德红外,13.39,44.05,72.6502,518.1785,0.3255,1176.2945,0.7389
213,600802,福建水泥,13.38,15.78,31.1928,201.0076,0.5263,1273.223,3.3341
214,688669,聚石化学,13.37,10.75,,86.3093,1.2329,802.8764,11.4696
215,300860,锋尚文化,13.34,22.63,,96.9053,,428.039,
216,301023,江南奕帆,13.32,37.79,54.9685,29.962,,79.2715,
217,002507,涪陵榨菜,13.3,33.76,57.3641,404.357,0.5122,1197.5737,1.5171
218,002432,九安医疗,13.3,24.75,60.5219,257.6177,,1040.5083,
219,603363,傲农生物,13.29,8.26,22.0631,337.9157,0.6498,4088.228,7.8621
220,601012,隆基股份,13.27,20.43,29.2333,4116.3307,1.0912,20141.2814,5.3396
221,002299,圣农发展,13.27,20.49,26.9265,1332.2084,1.0706,6500.3218,5.224
222,002734,利民股份,13.27,11.48,27.5751,304.9105,0.8184,2655.712,7.1289
223,000333,美的集团,13.26,10.01,25.5584,13928.295,1.9878,139067.022,19.8474
224,300738,奥飞数据,13.23,27.39,29.9439,103.0951,0.5162,376.3246,1.8843
225,300908,仲景食品,13.22,18.45,,64.4801,,349.4575,
226,603369,今世缘,13.22,35.0,69.4472,1019.5029,0.8126,2912.8406,2.3219
227,603638,艾迪精密,13.21,26.88,43.306,294.1792,0.4912,1094.3316,1.8275
228,688013,天臣医疗,13.19,23.22,58.7573,16.2911,,70.1424,
229,301001,凯淳股份,13.16,10.22,29.9664,38.7387,0.6456,378.9398,6.3156
230,300952,恒辉安防,13.15,15.61,29.4724,58.7189,,375.9797,
231,688160,步科股份,13.15,17.6,40.6752,32.7931,,186.2241,
232,605186,健麾信息,13.12,33.94,55.6373,42.6371,0.418,125.6134,1.2315
233,003037,三和管桩,13.11,5.12,22.118,148.6688,0.3411,2898.2876,6.6499
234,300941,创识科技,13.1,20.43,33.9473,45.6652,0.446,223.4166,2.1823
235,002810,山东赫达,13.09,19.66,37.5601,121.2445,0.6371,616.6088,3.2402
236,603520,司太立,13.07,19.34,47.4106,139.6851,0.5945,722.0624,3.0731
237,002916,深南电路,13.05,12.24,26.2097,724.3182,1.518,5915.4022,12.3976
238,603880,南卫股份,13.04,11.41,36.0373,83.216,0.3787,729.0932,3.3185
239,688215,瑞晟智能,13.02,27.72,39.774,17.9586,,64.7855,
240,002749,国光股份,13.01,25.23,48.6014,152.2986,0.3531,603.5168,1.3994
241,300876,蒙泰高新,13.01,22.51,,36.8444,,163.6707,
242,300997,欢乐家,12.98,14.18,39.2071,84.7918,,597.9656,
