,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600155,华创阳安,533.46,547.89,8.0886,2001.8217,4.8529,365.3683,0.8857
1,000403,派林生物,236.06,211.11,35.2106,338.5151,1.5991,160.347,0.7574
2,000935,四川双马,162.75,5.42,17.4208,8.1353,0.0254,149.864,0.4691
3,600703,三安光电,100.0,33.2,,0.3273,0.0027,0.9858,0.0082
4,600988,赤峰黄金,53.76,17.92,38.6668,2.146,0.0215,11.9708,0.1201
5,600711,盛屯矿业,44.41,67.76,63.4698,10.896,0.1371,16.0784,0.2023
6,000609,*ST中迪,33.74,31.24,50.7804,340.8159,2.2866,1090.9374,7.3193
7,600875,东方电气,30.76,7.13,16.973,424.939,0.5201,5957.7045,7.2921
8,600503,华丽家族,23.97,13653.88,,26.3711,0.2397,0.1931,0.0017
9,002001,新和成,23.12,30.65,52.9484,250.6136,0.7326,817.5363,2.39
10,601958,金钼股份,22.97,51.77,76.0454,895.5326,0.4163,1729.5108,0.8041
11,600862,中航高科,21.99,43.78,19.0519,52.0047,0.218,118.7781,0.4981
12,600596,新安股份,20.3,21.16,36.5171,326.9233,1.1399,1544.6049,5.3859
13,002242,九阳股份,19.98,14.52,34.7931,101.9528,0.5097,701.7544,3.5087
14,600136,当代文体,18.49,29.35,53.3636,10.0689,0.0964,34.3031,0.3284
15,002269,美邦服饰,17.44,14.69,42.4843,140.5155,0.2341,956.181,1.5936
16,002251,步步高,17.09,5.03,19.145,77.194,0.7705,1532.7533,15.2999
17,000568,泸州老窖,15.93,40.47,68.7553,512.7375,0.5884,1266.7635,1.4537
18,002252,上海莱士,15.8,35.99,66.0114,31.5426,0.2628,87.6303,0.7302
19,002249,大洋电机,15.45,9.03,17.0653,43.1324,0.4588,477.2018,5.0766
20,000862,银星能源,15.12,38.36,35.9049,31.7684,0.1346,82.8038,0.351
21,000835,*ST长动,15.02,15.29,26.1112,49.9535,0.3083,326.5194,2.0155
22,000655,金岭矿业,13.77,45.3,67.6113,136.5722,0.4251,301.4342,0.9383
23,600109,国金证券,13.53,60.58,80.9637,363.3303,0.7264,599.6602,1.199
24,000545,金浦钛业,13.33,9.19,42.5196,3.2186,0.0203,34.9911,0.2211
25,600158,中体产业,13.27,67.47,66.6508,154.5725,0.2115,229.0686,0.3135
26,002237,恒邦股份,12.75,14.28,24.3614,42.7248,0.595,298.9874,4.1641
27,600066,宇通客车,12.72,14.67,16.4331,253.6482,0.6342,1728.7839,4.3228
28,000933,神火股份,12.38,9.85,24.4352,272.4876,0.5449,2765.7433,5.5314
29,601919,中远海控,12.11,21.88,33.301,6132.2177,0.6002,28025.289,2.7432
30,000718,苏宁环球,11.98,18.14,38.7052,106.4707,0.2168,586.7156,1.1949
31,000612,焦作万方,11.93,15.25,23.7396,223.5643,0.4655,1465.4392,3.0518
32,000006,深振业A,11.77,32.67,68.2787,229.9053,0.9065,703.5197,2.7742
33,002241,歌尔股份,11.52,10.38,28.5428,20.4333,0.227,196.6711,2.1852
34,002258,利尔化学,11.44,23.14,39.9482,27.0162,0.2675,116.7376,1.1562
35,000100,TCL科技,11.44,5.04,16.5898,449.1318,0.1736,8903.5164,3.4425
36,002128,露天煤业,11.41,28.62,50.6855,239.1639,0.3655,835.4367,1.277
37,600547,山东黄金,11.26,3.51,8.7274,213.7925,1.2018,6079.8062,34.1784
38,000869,张裕A,10.86,21.47,69.8369,271.6379,0.5151,1264.7602,2.3986
39,600758,辽宁能源,10.63,43.36,37.4581,25.2705,0.1581,58.2798,0.3648
40,600828,茂业商业,10.5,7.74,21.7627,32.088,0.1579,414.4212,2.0399
41,600309,万华化学,10.34,19.14,37.5382,376.2837,0.2262,1965.0851,1.1814
42,000338,潍柴动力,10.02,7.77,24.4135,710.7756,1.3651,9136.2837,17.5477
43,600173,卧龙地产,10.0,13.59,32.9464,47.9803,0.1453,352.8067,1.0691
44,600685,中船防务,9.78,18.25,15.482,257.7356,0.521,1411.487,2.8533
45,600428,中远海特,9.74,22.51,35.8031,357.1342,0.545,1586.0345,2.4206
46,600519,贵州茅台,9.58,43.81,89.9267,873.3541,0.9253,1993.4964,2.1122
47,600150,中国船舶,9.51,24.7,29.7227,984.1701,1.4854,3983.5117,6.0123
48,000858,五粮液,9.51,32.66,60.7646,1008.1066,0.2655,3086.1475,0.813
49,600162,香江控股,9.42,14.35,52.1262,104.698,0.1977,729.5876,1.3778
50,000792,盐湖股份,9.4,35.89,82.671,249.1832,0.3246,694.1658,0.9043
51,600616,金枫酒业,9.27,4.4,15.1475,85.123,0.2328,1934.2483,5.2911
52,000635,英力特,9.22,7.08,30.297,37.0473,0.2694,523.2114,3.8058
53,000157,中联重科,9.15,14.41,32.2976,365.5633,0.4806,2536.6113,3.3354
54,600816,ST安信,9.05,168.21,76.7304,14.6105,0.0321,8.6856,0.0191
55,002024,苏宁易购,9.04,3.41,14.2603,430.972,0.2989,12638.354,8.7674
56,600000,浦发银行,8.94,34.97,45.9812,2811.6266,0.6456,8037.9346,1.8457
57,000422,湖北宜化,8.83,9.79,22.9181,171.747,0.3166,1752.8384,3.2317
58,002233,塔牌集团,8.8,12.51,32.6614,60.5387,0.2017,483.8938,1.6129
59,600169,太原重工,8.69,7.52,15.056,113.6725,0.3054,1511.0754,4.0601
60,600026,中远海能,8.6,37.35,46.3062,1679.8889,0.4934,4497.0249,1.3208
61,000998,隆平高科,8.52,31.81,23.061,82.741,0.5253,260.0322,1.6509
62,600202,哈空调,8.49,18.39,28.4198,58.531,0.2381,318.2561,1.2951
63,600036,招商银行,8.45,46.08,60.6184,6319.0,0.4296,13712.0,0.9323
64,600629,华建集团,8.39,31.66,58.9429,24.2247,0.09,76.509,0.2844
65,600609,金杯汽车,8.32,6.9,8.6263,62.2144,0.0569,900.943,0.8245
66,600216,浙江医药,8.32,9.55,30.7893,77.069,0.1712,806.4961,1.7919
67,002243,力合科创,8.29,9.6,23.0958,12.1274,0.1003,126.2177,1.0449
68,002234,民和股份,8.26,14.4,21.8415,26.6025,0.3304,184.6219,2.2934
69,000848,承德露露,8.16,6.57,31.337,48.672,0.256,740.3493,3.8948
70,600729,重庆百货,8.14,3.07,15.1499,62.3089,0.3054,2024.9344,9.9261
71,600166,福田汽车,8.1,2.08,8.4713,167.3363,0.2062,8042.9185,9.9122
72,600800,渤海化学,8.1,25.41,26.7582,15.8195,0.0286,62.2568,0.1128
73,600415,小商品城,8.07,31.81,62.1831,133.5307,1.0685,419.6927,3.3583
74,600246,万通发展,8.07,14.3,54.7389,213.7588,0.4216,1494.3982,2.9475
75,601990,南京证券,8.07,56.82,,0.0195,0.0,0.0343,0.0
76,600997,开滦股份,8.06,12.6,31.2753,263.8356,0.4701,2093.5336,3.7304
77,002009,天奇股份,8.04,12.3,29.3026,32.0882,0.1451,260.8674,1.1803
78,600409,三友化工,8.04,14.71,27.8047,211.342,0.36,1436.057,2.4466
79,600111,北方稀土,7.98,18.52,35.1226,131.7703,0.3264,711.2444,1.7619
80,600052,浙江广厦,7.98,30.31,32.5058,98.5081,0.1129,324.9968,0.3727
81,000686,东北证券,7.94,46.92,60.5101,179.2584,0.3084,382.0152,0.6572
82,600550,保变电气,7.85,28.09,27.9902,240.5402,0.3295,856.3001,1.173
83,600389,江山股份,7.79,6.25,20.3732,58.1661,0.2937,929.5212,4.6945
84,601766,中国中车,7.79,5.46,18.7735,367.5498,0.0525,6725.2512,0.9607
85,000950,重药控股,7.75,19.58,29.9169,62.5205,0.2507,319.2635,1.2807
86,000952,广济药业,7.73,30.78,54.6688,57.2749,0.2275,186.0211,0.739
87,000963,华东医药,7.69,3.02,17.3917,48.5418,0.1118,1605.6963,3.6992
88,600112,*ST天成,7.68,23.44,38.0126,33.3927,0.1034,142.4085,0.441
89,000937,冀中能源,7.66,16.39,39.3712,301.0601,0.382,1835.9204,2.3299
90,601699,潞安环能,7.56,11.37,28.4117,335.6593,0.5251,2950.4796,4.6159
91,600686,金龙汽车,7.55,3.9,11.934,101.0132,0.3423,2586.6058,8.7662
92,000060,中金岭南,7.48,16.3,30.2076,278.5415,0.3808,1708.137,2.3358
93,002152,广电运通,7.48,32.3,44.1723,83.0824,0.5827,257.1728,1.8039
94,002223,鱼跃医疗,7.47,12.74,30.4892,11.0966,0.1441,87.0869,1.1309
95,000983,山西焦煤,7.45,20.52,40.1298,475.441,0.3922,2316.2421,1.911
96,002239,奥特佳,7.35,7.41,22.1239,13.1636,0.1316,177.5861,1.7758
97,601166,兴业银行,7.34,42.07,52.5694,3087.7898,0.6175,7338.7828,1.4677
98,000948,南天信息,7.31,12.64,21.245,39.1519,0.2438,309.7118,1.929
99,000987,越秀金控,7.28,9.98,24.1003,77.0106,0.3218,771.5403,3.224
100,002228,合兴包装,7.28,6.85,19.4437,9.1829,0.1224,133.9208,1.7856
101,000028,国药一致,7.28,2.05,8.3086,38.0244,0.1319,1846.4889,6.408
102,000032,深桑达A,7.27,10.95,27.2557,59.7551,0.3079,545.3647,2.8103
103,600089,特变电工,7.2,8.54,21.622,194.2945,0.2275,2273.6811,2.6622
104,000651,格力电器,7.19,4.04,18.2472,436.0958,0.5223,10773.0479,12.9029
105,601939,建设银行,7.18,49.48,64.192,32118.0,0.1374,64910.0,0.2777
106,002093,国脉科技,7.15,24.71,57.7757,27.6223,0.2069,111.7423,0.837
107,000001,平安银行,7.15,28.26,38.7348,1004.182,0.4378,3553.27,1.5493
108,600115,中国东航,7.13,1.98,8.9036,210.797,0.0433,10609.408,2.1798
109,002019,亿帆医药,7.13,27.09,60.573,42.1168,0.2203,155.4566,0.8134
110,002254,泰和新材,7.11,19.57,34.5281,73.069,0.7814,373.2104,3.9915
111,000951,中国重汽,7.1,3.27,10.7577,154.2972,0.4782,4709.4954,14.5969
112,600188,兖州煤业,7.09,26.84,57.2,1490.5275,0.303,5552.2577,1.1288
113,601975,招商南油,7.04,42.9,29.0977,305.1634,0.341,711.319,0.7949
114,000626,远大控股,7.0,0.42,3.0398,17.8838,0.0883,4212.4938,20.8024
115,600033,福建高速,6.98,43.88,83.5479,236.0082,0.1595,537.841,0.3635
116,600693,东百集团,6.94,8.65,23.6729,34.1692,0.1294,394.719,1.495
117,600896,*ST海医,6.91,34.05,44.3935,100.8339,0.2254,296.0532,0.662
118,600610,中毅达,6.9,67.48,7.2832,17.3026,0.0484,25.6393,0.0718
119,002022,科华生物,6.88,31.3,59.4802,33.9306,0.1612,108.4032,0.5152
120,000690,宝新能源,6.88,64.71,32.8679,170.5814,0.1513,263.6055,0.2338
121,600393,ST粤泰,6.87,10.85,26.5255,41.3847,0.1379,381.3663,1.2712
122,600779,水井坊,6.82,27.08,82.3301,95.4513,0.1953,352.4707,0.7214
123,002245,蔚蓝锂芯,6.79,5.0,9.8094,9.1008,0.1995,181.6684,3.9839
124,000680,山推股份,6.76,10.99,18.5844,178.9393,0.2357,1627.0082,2.1431
125,002110,三钢闽光,6.72,4.26,8.8656,193.9572,0.3627,4544.4342,8.499
126,600595,*ST中孚,6.66,10.11,17.0264,158.5614,0.2412,1567.1627,2.3844
127,600123,兰花科创,6.59,21.35,41.79,203.0023,0.4975,950.6574,2.33
128,000960,锡业股份,6.59,6.57,15.9643,167.2546,0.3106,2542.7883,4.7235
129,600022,山东钢铁,6.58,3.83,8.5901,392.5484,0.29,10227.8375,7.556
130,002147,*ST新光,6.53,27.95,48.4628,22.9604,0.2442,82.1272,0.8736
131,002229,鸿博股份,6.51,26.38,43.2681,10.0749,0.1679,38.1844,0.6364
132,600516,方大炭素,6.5,11.15,33.6873,48.088,0.1202,431.2642,1.0781
133,600362,江西铜业,6.48,10.57,16.7635,1257.2118,0.4159,11887.425,3.9325
134,600511,国药股份,6.48,4.46,10.2222,47.6158,0.358,1065.6274,8.0122
135,600706,曲江文旅,6.38,5.57,37.2289,2.0317,0.0232,36.4305,0.4171
136,002235,安妮股份,6.33,9.89,20.2508,10.0618,0.1341,101.666,1.3555
137,000725,京东方A,6.3,10.4,20.3169,305.424,0.1063,2936.7206,1.0226
138,600739,辽宁成大,6.25,23.68,14.3875,283.9496,0.3164,1198.7847,1.3361
139,600327,大东方,6.22,4.26,15.3005,46.0911,0.1413,1079.9147,3.3119
140,600508,上海能源,6.2,10.48,24.5871,188.952,0.2614,1802.2321,2.4936
141,000560,我爱我家,6.18,1.81,24.1677,5.7197,0.0425,314.3059,2.3385
142,600970,中材国际,6.16,2.53,11.1353,64.789,0.3856,2552.4342,15.193
143,000709,河钢股份,6.15,5.29,10.5019,729.8276,0.322,13786.6467,6.0833
144,600029,南方航空,6.14,5.56,11.7635,796.0,0.1819,14307.0,3.2707
145,600674,川投能源,6.07,81.25,29.4159,95.1598,0.1936,117.1118,0.2383
146,600031,三一重工,6.03,11.35,32.185,302.545,0.3049,2664.38,2.6858
147,600053,九鼎投资,6.02,31.82,59.6424,36.3194,0.1206,114.1178,0.379
148,001872,招商港口,6.01,35.1,61.3616,165.6712,0.2569,471.8716,0.7318
149,600725,云维股份,5.99,7.34,19.7227,96.0089,0.3309,1306.5012,4.5031
150,000623,吉林敖东,5.99,117.75,57.6792,269.2173,0.4695,228.6209,0.3987
151,000968,蓝焰控股,5.95,11.8,34.5626,112.981,0.2858,957.3249,2.4224
152,002371,北方华创,5.95,11.1,36.4503,12.8245,0.2647,115.4589,2.3835
153,600015,华夏银行,5.93,18.89,26.8442,821.6102,0.1956,4348.6785,1.0353
154,000536,华映科技,5.93,7.03,13.6952,2.36,0.0193,33.5362,0.275
155,600325,华发股份,5.92,17.97,49.2491,122.288,0.1935,680.2853,1.0765
156,002016,世荣兆业,5.91,13.76,37.012,38.66,0.201,280.7599,1.46
157,002041,登海种业,5.91,21.34,60.9066,41.6262,0.2365,195.028,1.1081
158,600660,福耀玻璃,5.91,14.25,32.9503,190.5362,0.1902,1336.6444,1.3346
159,002255,海陆重工,5.9,6.22,21.9003,10.1964,0.1228,163.8407,1.9739
160,002225,濮耐股份,5.88,11.69,43.0658,25.8206,0.0755,220.6971,0.6461
161,000783,长江证券,5.87,48.1,62.1781,340.0984,0.203,706.9514,0.4221
162,000887,中鼎股份,5.87,17.97,30.1132,28.4861,0.0905,158.4366,0.5035
163,600230,沧州大化,5.87,10.99,33.2015,59.3475,0.2288,539.8172,2.0815
164,002038,双鹭药业,5.85,54.56,84.4434,34.3648,0.2766,62.9783,0.507
165,600561,江西长运,5.84,11.88,32.7213,28.0886,0.1512,236.4213,1.2729
166,601398,工商银行,5.84,43.77,57.2567,33113.0,0.0991,75640.0,0.2264
167,000166,申万宏源,5.84,49.08,,633.5201,0.0943,1290.7422,0.1921
168,600845,宝信软件,5.84,8.51,24.3054,40.8939,0.1559,480.3208,1.8315
169,000895,双汇发展,5.83,2.04,7.6638,135.0595,0.2228,6602.113,10.8946
170,601328,交通银行,5.82,43.73,57.1326,7883.0,0.1608,18023.0,0.3678
171,000538,云南白药,5.79,7.55,26.4954,85.1975,0.176,1127.6463,2.3296
172,000819,岳阳兴长,5.79,4.28,7.063,20.2524,0.1045,472.8313,2.4408
173,002146,荣盛发展,5.75,23.83,41.3959,107.3054,0.2682,450.289,1.1257
174,600058,五矿发展,5.73,2.24,5.9008,495.7348,0.4624,22109.3697,20.6261
175,600794,保税科技,5.71,48.52,72.5242,12.6193,0.0814,26.0062,0.1677
176,002250,联化科技,5.7,6.62,22.5694,14.9518,0.1543,225.795,2.3316
177,002122,ST天马,5.69,14.56,33.0132,96.791,0.7116,664.7347,4.8877
178,600983,惠而浦,5.68,14.88,42.721,34.7809,0.1044,233.7335,0.7019
179,000786,北新建材,5.67,23.64,18.4299,103.2364,0.1794,436.5766,0.759
180,000528,柳工,5.66,5.67,16.9994,139.4409,0.2951,2458.2216,5.203
181,002256,兆新股份,5.65,10.04,22.332,6.2999,0.0969,62.6971,0.9645
182,000707,*ST双环,5.64,14.27,32.5839,97.4795,0.21,683.0962,1.4717
183,000544,中原环保,5.64,23.84,36.6454,23.1188,0.0857,96.95,0.3597
184,601169,北京银行,5.6,55.18,70.6793,1595.537,0.2562,2891.067,0.4642
185,002187,广百股份,5.58,5.02,20.7048,48.484,0.303,965.7135,6.0357
186,000698,沈阳化工,5.56,6.23,15.6791,95.7087,0.2265,1534.7994,3.6334
187,600096,云天化,5.53,9.07,20.0925,194.5047,0.3626,2142.3997,3.9944
188,600517,国网英大,5.5,12.08,19.9435,43.4111,0.2104,359.1639,1.7415
189,600426,华鲁恒升,5.43,13.42,25.4022,115.1119,0.2321,857.2956,1.7292
190,600486,扬农化工,5.41,6.36,15.526,43.8351,0.3746,688.1898,5.8819
191,000726,鲁泰A,5.4,14.01,28.4325,129.5737,0.1533,924.749,1.0945
192,600750,江中药业,5.39,12.39,69.718,47.7038,0.1612,384.9368,1.301
193,600876,洛阳玻璃,5.38,3.44,5.0575,12.311,0.0246,356.9908,0.7139
194,601001,晋控煤业,5.37,11.75,51.6106,218.2752,0.2608,1857.3424,2.2194
195,601666,平煤股份,5.37,9.7,21.5033,347.0557,0.3229,3577.7635,3.329
196,000423,东阿阿胶,5.29,15.91,46.2638,68.3918,0.1305,429.762,0.8205
197,000566,海南海药,5.29,15.36,40.6539,14.6016,0.0721,95.01,0.4695
198,601006,大秦铁路,5.27,37.95,59.6119,2090.0604,0.161,5507.2833,0.4243
199,600814,杭州解百,5.26,5.74,18.1064,27.9206,0.0899,486.228,1.5665
200,000630,铜陵有色,5.25,3.16,7.9849,280.1222,0.2164,8844.6463,6.8332
201,000912,泸天化,5.24,6.96,18.0724,128.178,0.2191,1840.217,3.1456
202,000825,太钢不锈,5.23,4.53,12.4193,933.317,0.2698,20571.9303,5.9481
203,600531,豫光金铅,5.22,2.48,5.1052,51.6226,0.2261,2079.5595,9.1101
